R,G,B,Drought_AmbientTemp,Drought_ObjectTemp
35,99,62,26.71,25.37
32,100,56,26.71,25.41
29,101,55,26.71,25.37
27,99,53,26.71,25.41
29,101,54,26.71,25.37
28,101,51,26.71,25.41
28,103,54,26.71,25.37
28,103,59,26.71,25.41
33,104,61,26.71,25.37
35,107,61,26.71,25.41
34,111,62,26.71,25.37
39,112,66,26.71,25.41
44,114,70,26.71,25.37
47,117,72,26.71,25.41
49,118,75,26.71,25.37
52,120,81,26.71,25.41
50,124,88,26.71,25.37
53,126,80,26.71,25.41
56,125,77,26.71,25.37
56,124,79,26.71,25.41
56,123,81,26.71,25.37
61,120,78,26.71,25.41
62,120,80,26.71,25.37
61,122,80,26.71,25.41
60,126,80,26.71,25.37
62,124,81,26.71,25.41
64,122,78,26.71,25.37
64,121,83,26.71,25.41
60,121,84,26.71,25.37
58,122,84,26.71,25.41
58,123,82,26.71,25.37
55,124,79,26.71,25.41
54,123,83,26.71,25.37
61,118,85,26.71,25.41
62,118,80,26.71,25.37
59,118,78,26.71,25.41
56,119,79,26.71,25.37
56,119,81,26.71,25.41
60,116,83,26.71,25.37
62,119,79,26.71,25.41
63,121,77,26.71,25.37
66,122,78,26.71,25.41
66,122,78,26.71,25.37
65,123,80,26.71,25.41
66,123,77,26.71,25.37
68,122,81,26.71,25.41
63,122,83,26.71,25.37
63,119,83,26.71,25.41
95,126,90,26.71,25.37
97,126,89,26.71,25.41
98,125,91,26.71,25.37
97,126,94,26.71,25.41
97,126,95,26.71,25.37
96,127,95,26.71,25.41
97,123,94,26.71,25.37
94,124,93,26.71,25.41
90,125,87,26.71,25.37
89,123,78,26.71,25.41
85,123,80,26.71,25.37
82,122,82,26.71,25.41
80,121,83,26.71,25.37
77,122,80,26.71,25.41
75,121,79,26.71,25.37
75,119,79,26.71,25.41
75,118,79,26.71,25.37
74,118,81,26.71,25.41
75,118,87,26.71,25.37
75,120,89,26.71,25.41
77,119,83,26.71,25.37
75,120,83,26.71,25.41
74,120,82,26.71,25.37
73,121,84,26.71,25.41
72,120,85,26.71,25.37
71,118,83,26.71,25.41
71,116,81,26.71,25.37
68,116,77,26.71,25.41
63,116,77,26.71,25.37
61,113,76,26.71,25.41
62,111,74,26.71,25.37
60,109,72,26.71,25.41
60,108,67,26.71,25.37
61,107,67,26.71,25.41
59,107,69,26.71,25.37
54,107,68,26.71,25.41
55,106,63,26.71,25.37
50,108,63,26.71,25.41
46,108,64,26.71,25.37
49,104,63,26.71,25.41
48,103,63,26.71,25.37
48,102,63,26.71,25.41
49,102,63,26.71,25.37
48,102,61,26.71,25.41
44,101,63,26.71,25.37
44,102,61,26.71,25.41
48,100,60,26.71,25.37
44,101,62,26.71,25.41
41,99,63,26.71,25.37
36,99,63,26.71,25.41
35,100,63,26.71,25.37
32,100,63,26.71,25.41
35,99,62,26.71,25.37
36,97,58,26.71,25.41
31,96,52,26.71,25.37
26,100,54,26.71,25.41
30,100,51,26.71,25.37
33,101,53,26.71,25.41
33,103,55,26.71,25.37
33,103,64,26.71,25.41
33,103,64,26.71,25.37
33,108,64,26.71,25.41
33,111,67,26.71,25.37
42,115,69,26.71,25.41
43,114,69,26.71,25.37
46,118,73,26.71,25.41
52,120,77,26.71,25.37
54,122,80,26.71,25.41
53,125,82,26.71,25.37
53,125,82,26.71,25.41
55,124,80,26.71,25.37
57,122,79,26.71,25.41
60,123,81,26.71,25.37
61,121,80,26.71,25.41
63,119,82,26.71,25.37
60,122,82,26.71,25.41
59,124,81,26.71,25.37
65,120,80,26.71,25.41
64,122,80,26.71,25.37
63,122,78,26.71,25.41
60,122,83,26.71,25.37
57,121,85,26.71,25.41
57,122,85,26.71,25.37
56,122,83,26.71,25.41
57,118,84,26.71,25.37
62,118,83,26.71,25.41
60,119,78,26.71,25.37
59,120,76,26.71,25.41
56,119,79,26.71,25.37
54,120,80,26.71,25.41
56,120,81,26.71,25.37
63,118,80,26.71,25.41
66,119,80,26.71,25.37
67,122,80,26.71,25.41
68,122,81,26.71,25.37
71,121,83,26.71,25.41
70,121,86,26.71,25.37
70,120,86,26.71,25.41
68,120,85,26.71,25.37
64,120,84,26.71,25.41
97,125,85,26.71,25.37
99,125,90,26.71,25.41
97,125,92,26.71,25.37
96,126,91,26.71,25.41
95,128,91,26.71,25.37
96,126,92,26.71,25.41
98,124,90,26.71,25.37
94,125,89,26.71,25.41
89,125,84,26.71,25.37
86,124,83,26.71,25.41
81,123,84,26.71,25.37
78,122,80,26.71,25.41
78,121,81,26.71,25.37
75,121,81,26.71,25.41
75,119,80,26.71,25.37
75,117,79,26.71,25.41
75,115,80,26.71,25.37
73,117,80,26.71,25.41
73,120,81,26.71,25.37
72,120,82,26.71,25.41
73,121,80,26.71,25.37
71,120,82,26.71,25.41
69,119,83,26.71,25.37
69,119,86,26.71,25.41
69,120,85,26.71,25.37
65,120,82,26.71,25.41
66,118,79,26.71,25.37
63,117,75,26.71,25.41
63,115,77,26.71,25.37
60,113,75,26.71,25.41
61,111,73,26.71,25.37
60,109,70,26.71,25.41
57,109,67,26.71,25.37
58,108,63,26.71,25.41
57,106,65,26.71,25.37
51,108,68,26.71,25.41
52,105,66,26.71,25.37
52,105,63,26.71,25.41
47,106,63,26.71,25.37
48,103,61,26.71,25.41
47,102,60,26.71,25.37
46,102,61,26.71,25.41
47,101,60,26.71,25.37
47,98,58,26.71,25.41
46,100,61,26.71,25.37
42,101,62,26.71,25.41
46,99,57,26.71,25.37
42,101,60,26.71,25.41
38,100,59,26.71,25.37
36,100,59,26.71,25.41
39,98,61,26.71,25.37
35,99,62,26.71,25.41
34,97,60,26.71,25.37
32,101,57,26.71,25.41
31,98,54,26.71,25.37
28,96,51,26.71,25.41
31,100,55,26.71,25.37
31,103,59,26.71,25.41
34,103,60,26.71,25.37
36,102,65,26.71,25.41
33,103,67,26.71,25.37
34,110,66,26.71,25.41
36,114,67,26.71,25.37
41,117,68,26.71,25.41
44,116,69,26.71,25.37
50,118,75,26.71,25.41
52,121,77,26.71,25.37
55,123,77,26.71,25.41
54,124,80,26.71,25.37
56,123,80,26.71,25.41
56,123,81,26.71,25.37
58,123,80,26.71,25.41
60,123,80,26.71,25.37
61,121,81,26.71,25.41
64,121,75,26.71,25.37
66,118,77,26.71,25.41
62,119,80,26.71,25.37
65,118,83,26.71,25.41
64,120,81,26.71,25.37
64,120,80,26.71,25.41
59,122,83,26.71,25.37
59,121,85,26.71,25.41
59,121,83,26.71,25.37
59,118,84,26.71,25.41
60,116,85,26.71,25.37
62,117,82,26.71,25.41
61,118,79,26.71,25.37
58,119,78,26.71,25.41
58,118,80,26.71,25.37
54,121,79,26.71,25.41
59,117,80,26.71,25.37
64,116,82,26.71,25.41
67,119,80,26.71,25.37
67,121,81,26.71,25.41
70,122,83,26.71,25.37
74,120,85,26.71,25.41
74,120,87,26.71,25.37
73,121,88,26.71,25.41
69,120,85,26.71,25.37
66,120,86,26.71,25.41
97,126,84,26.71,25.37
97,125,87,26.71,25.41
96,125,91,26.71,25.37
94,126,91,26.71,25.41
93,128,89,26.71,25.37
93,129,87,26.71,25.41
93,127,85,26.71,25.37
91,125,85,26.71,25.41
87,125,87,26.71,25.37
83,123,83,26.71,25.41
82,122,81,26.71,25.37
78,121,81,26.71,25.41
77,120,80,26.71,25.37
74,120,81,26.71,25.41
75,118,80,26.71,25.37
74,116,80,26.71,25.41
75,114,78,26.71,25.37
74,117,78,26.71,25.41
72,119,78,26.71,25.37
73,119,77,26.71,25.41
69,119,78,26.71,25.37
67,120,79,26.71,25.41
67,117,84,26.71,25.37
67,117,84,26.71,25.41
65,118,83,26.71,25.37
62,121,79,26.71,25.41
61,121,74,26.71,25.37
62,118,71,26.71,25.41
62,114,73,26.71,25.37
57,112,75,26.71,25.41
56,111,74,26.71,25.37
57,111,67,26.71,25.41
55,112,61,26.71,25.37
54,109,59,26.71,25.41
54,108,62,26.71,25.37
48,107,68,26.71,25.41
50,105,66,26.71,25.37
50,104,62,26.71,25.41
49,105,61,26.71,25.37
47,101,62,26.71,25.41
47,99,62,26.71,25.37
42,101,59,26.71,25.41
42,101,59,26.71,25.37
42,101,59,26.71,25.41
45,97,56,26.71,25.37
45,98,63,26.71,25.41
45,100,61,26.71,25.37
41,99,60,26.71,25.41
35,100,59,26.71,25.37
32,103,56,26.71,25.41
37,100,59,26.71,25.37
39,99,59,26.71,25.41
34,100,60,26.71,25.37
26,104,58,26.71,25.41
29,101,56,26.71,25.37
31,100,58,26.71,25.41
31,103,57,26.71,25.37
32,105,58,26.71,25.41
34,103,60,26.71,25.37
35,104,63,26.71,25.41
32,107,68,26.71,25.37
33,112,69,26.71,25.41
35,115,68,26.71,25.37
39,118,71,26.71,25.41
44,119,74,26.71,25.37
48,120,77,26.71,25.41
56,120,75,26.71,25.37
55,122,77,26.71,25.41
52,123,83,26.71,25.37
56,122,78,26.71,25.41
56,123,79,26.71,25.37
59,124,80,26.71,25.41
60,124,80,26.71,25.37
61,124,78,26.71,25.41
64,121,73,26.71,25.37
67,120,71,26.71,25.41
65,119,77,26.71,25.37
64,119,80,26.71,25.41
64,120,80,26.71,25.37
66,119,82,26.71,25.41
63,117,84,26.71,25.37
60,119,82,26.71,25.41
60,119,79,26.71,25.37
58,119,81,26.71,25.41
58,118,83,26.71,25.37
60,117,84,26.71,25.41
59,118,80,26.71,25.37
62,117,80,26.71,25.41
60,119,79,26.71,25.37
58,119,79,26.71,25.41
61,117,79,26.71,25.37
65,116,82,26.71,25.41
68,119,82,26.71,25.37
70,120,83,26.71,25.41
75,121,83,26.71,25.37
76,123,86,26.71,25.41
75,123,86,26.71,25.37
73,123,87,26.71,25.41
74,121,85,26.71,25.37
74,120,85,26.71,25.41
96,125,85,26.71,25.37
95,126,85,26.71,25.41
95,126,86,26.71,25.37
94,126,87,26.71,25.41
90,129,88,26.71,25.37
90,129,88,26.71,25.41
89,126,87,26.71,25.37
88,125,87,26.71,25.41
84,125,85,26.71,25.37
83,123,83,26.71,25.41
83,120,81,26.71,25.37
81,119,81,26.71,25.41
78,119,79,26.71,25.37
75,118,78,26.71,25.41
73,118,77,26.71,25.37
72,117,79,26.71,25.41
74,115,78,26.71,25.37
74,115,77,26.71,25.41
72,117,77,26.71,25.37
73,115,76,26.71,25.41
68,119,76,26.71,25.37
69,116,80,26.71,25.41
68,116,84,26.71,25.37
67,117,83,26.71,25.41
64,118,81,26.71,25.37
63,119,78,26.71,25.41
65,116,66,26.71,25.37
64,114,67,26.71,25.41
60,113,71,26.71,25.37
57,111,74,26.71,25.41
54,110,75,26.71,25.37
55,109,69,26.71,25.41
54,110,64,26.71,25.37
52,109,62,26.71,25.41
51,107,63,26.71,25.37
49,104,61,26.71,25.41
49,103,63,26.71,25.37
46,105,61,26.71,25.41
43,104,61,26.71,25.37
43,102,61,26.71,25.41
42,100,61,26.71,25.37
38,102,60,26.71,25.41
34,103,57,26.71,25.37
35,104,57,26.71,25.41
38,103,59,26.71,25.37
41,99,62,26.71,25.41
42,99,61,26.71,25.37
38,98,62,26.71,25.41
38,100,61,26.71,25.37
33,103,61,26.71,25.41
36,102,60,26.71,25.37
40,99,59,26.71,25.41
37,99,57,26.71,25.37
32,101,58,26.71,25.41
32,101,59,26.71,25.37
33,101,61,26.71,25.41
32,102,62,26.71,25.37
30,105,62,26.71,25.41
30,106,67,26.71,25.37
33,106,65,26.71,25.41
36,107,71,26.71,25.37
35,111,73,26.71,25.41
35,116,74,26.71,25.37
37,121,75,26.71,25.41
42,122,75,26.71,25.37
45,123,76,26.71,25.41
48,124,78,26.71,25.37
55,121,80,26.71,25.41
53,121,83,26.71,25.37
56,121,79,26.71,25.41
58,122,80,26.71,25.37
58,124,83,26.71,25.41
57,125,80,26.71,25.37
61,123,80,26.71,25.41
64,121,79,26.71,25.37
65,120,75,26.71,25.41
65,121,75,26.71,25.37
63,121,78,26.71,25.41
63,120,80,26.71,25.37
65,119,81,26.71,25.41
62,119,82,26.71,25.37
59,121,82,26.71,25.41
62,121,83,26.71,25.37
58,118,78,26.71,25.41
56,118,80,26.71,25.37
57,119,81,26.71,25.41
57,119,83,26.71,25.37
58,119,83,26.71,25.41
60,120,79,26.71,25.37
57,121,77,26.71,25.41
59,119,79,26.71,25.37
64,118,82,26.71,25.41
68,121,83,26.71,25.37
72,122,82,26.71,25.41
73,125,86,26.71,25.37
74,124,86,26.71,25.41
74,126,85,26.71,25.37
77,124,82,26.71,25.41
78,122,81,26.71,25.37
76,121,82,26.71,25.41
96,123,86,26.71,25.37
96,123,85,26.71,25.41
97,123,85,26.71,25.37
94,126,82,26.71,25.41
91,127,82,26.71,25.37
89,127,86,26.71,25.41
87,125,89,26.71,25.37
84,124,86,26.71,25.41
78,125,83,26.71,25.37
79,125,80,26.71,25.41
80,121,81,26.71,25.37
80,119,78,26.71,25.41
79,117,76,26.71,25.37
75,118,76,26.71,25.41
74,117,73,26.71,25.37
74,115,73,26.71,25.41
73,116,78,26.71,25.37
73,114,80,26.71,25.41
71,115,79,26.71,25.37
69,116,77,26.71,25.41
68,117,74,26.71,25.37
69,117,78,26.71,25.41
69,115,81,26.71,25.37
66,115,83,26.71,25.41
65,117,79,26.71,25.37
66,115,74,26.71,25.41
67,113,67,26.71,25.37
63,112,69,26.71,25.41
57,111,72,26.71,25.37
56,109,75,26.71,25.41
55,108,75,26.71,25.37
53,109,71,26.71,25.41
53,107,68,26.71,25.37
51,104,66,26.71,25.41
49,105,59,26.71,25.37
48,104,60,26.71,25.41
44,102,63,26.71,25.37
43,103,58,26.71,25.41
41,104,57,26.71,25.37
38,105,58,26.71,25.41
37,105,61,26.71,25.37
33,104,57,26.71,25.41
34,101,58,26.71,25.37
36,102,54,26.71,25.41
34,102,57,26.71,25.37
38,101,60,26.71,25.41
43,99,59,26.71,25.37
39,101,60,26.71,25.41
37,103,61,26.71,25.37
39,103,63,26.71,25.41
38,102,61,26.71,25.37
40,101,62,26.71,25.41
41,99,59,26.71,25.37
36,99,58,26.71,25.41
37,99,58,26.71,25.37
33,101,62,26.71,25.41
32,103,61,26.71,25.37
33,104,60,26.71,25.41
33,107,66,26.71,25.37
35,108,67,26.71,25.41
36,107,71,26.71,25.37
34,111,74,26.71,25.41
37,116,75,26.71,25.37
38,121,78,26.71,25.41
43,123,76,26.71,25.37
48,123,80,26.71,25.41
50,124,81,26.71,25.37
56,121,78,26.71,25.41
56,122,78,26.71,25.37
55,122,80,26.71,25.41
56,121,82,26.71,25.37
60,122,83,26.71,25.41
62,121,83,26.71,25.37
64,119,83,26.71,25.41
63,119,83,26.71,25.37
62,120,81,26.71,25.41
61,123,78,26.71,25.37
63,122,77,26.71,25.41
64,121,79,26.71,25.37
62,120,81,26.71,25.41
63,120,80,26.71,25.37
58,120,80,26.71,25.41
56,119,80,26.71,25.37
55,118,82,26.71,25.41
56,116,80,26.71,25.37
56,117,81,26.71,25.41
59,118,79,26.71,25.37
59,118,78,26.71,25.41
57,121,77,26.71,25.37
58,122,77,26.71,25.41
59,122,78,26.71,25.37
65,122,78,26.71,25.41
69,122,81,26.71,25.37
71,125,80,26.71,25.41
72,126,83,26.71,25.37
74,126,87,26.71,25.41
81,123,82,26.71,25.37
82,124,80,26.71,25.41
79,124,80,26.71,25.37
76,124,81,26.71,25.41
95,123,86,26.71,25.37
97,122,84,26.71,25.41
93,124,82,26.71,25.37
91,125,81,26.71,25.41
90,126,78,26.71,25.37
89,124,83,26.71,25.41
87,122,86,26.71,25.37
83,122,83,26.71,25.41
76,124,81,26.71,25.37
74,124,83,26.71,25.41
72,123,81,26.71,25.37
75,120,78,26.71,25.41
75,117,77,26.71,25.37
71,119,77,26.71,25.41
70,119,75,26.71,25.37
70,117,76,26.71,25.41
71,114,77,26.71,25.37
70,113,83,26.71,25.41
70,114,80,26.71,25.37
70,115,75,26.71,25.41
69,117,73,26.71,25.37
69,116,74,26.71,25.41
69,114,76,26.71,25.37
65,114,79,26.71,25.41
65,114,76,26.71,25.37
65,113,76,26.71,25.41
63,110,75,26.71,25.37
60,107,73,26.71,25.41
58,108,74,26.71,25.37
58,105,74,26.71,25.41
56,106,73,26.71,25.37
50,106,69,26.71,25.41
47,105,70,26.71,25.37
48,104,68,26.71,25.41
48,105,57,26.71,25.37
44,103,61,26.71,25.41
43,101,60,26.71,25.37
42,103,55,26.71,25.41
41,105,54,26.71,25.37
39,103,61,26.71,25.41
39,101,60,26.71,25.37
36,101,61,26.71,25.41
37,100,59,26.71,25.37
29,104,55,26.71,25.41
33,102,62,26.71,25.37
37,101,61,26.71,25.41
41,101,60,26.71,25.37
41,103,60,26.71,25.41
41,105,60,26.71,25.37
41,105,59,26.71,25.41
40,104,60,26.71,25.37
41,101,60,26.71,25.41
44,98,58,26.71,25.37
37,102,58,26.71,25.41
38,103,57,26.71,25.37
33,104,61,26.71,25.41
33,105,63,26.71,25.37
34,107,64,26.71,25.41
36,109,66,26.71,25.37
39,110,67,26.71,25.41
37,113,67,26.71,25.37
37,116,71,26.71,25.41
41,118,73,26.71,25.37
40,122,79,26.71,25.41
44,123,80,26.71,25.37
49,123,84,26.71,25.41
53,121,82,26.71,25.37
56,121,78,26.71,25.41
58,121,75,26.71,25.37
51,123,79,26.71,25.41
52,123,82,26.71,25.37
61,121,81,26.71,25.41
65,119,82,26.71,25.37
65,118,80,26.71,25.41
62,118,81,26.71,25.37
61,119,80,26.71,25.41
61,122,76,26.71,25.37
66,120,77,26.71,25.41
66,119,79,26.71,25.37
61,121,81,26.71,25.41
63,119,81,26.71,25.37
60,119,81,26.71,25.41
58,119,80,26.71,25.37
55,118,81,26.71,25.41
55,118,78,26.71,25.37
55,118,78,26.71,25.41
57,117,79,26.71,25.37
58,118,81,26.71,25.41
57,121,77,26.71,25.37
60,122,78,26.71,25.41
61,123,81,26.71,25.37
65,123,78,26.71,25.41
69,123,79,26.71,25.37
70,126,84,26.71,25.41
69,129,84,26.71,25.37
74,127,87,26.71,25.41
81,125,82,26.71,25.37
82,125,79,26.71,25.41
79,125,81,26.71,25.37
78,124,83,26.71,25.41
93,122,85,26.71,25.37
94,122,79,26.71,25.41
91,123,80,26.71,25.37
88,124,82,26.71,25.41
88,124,82,26.71,25.37
88,122,82,26.71,25.41
87,120,82,26.71,25.37
84,120,82,26.71,25.41
77,122,78,26.71,25.37
73,122,81,26.71,25.41
72,121,80,26.71,25.37
70,120,80,26.71,25.41
71,120,78,26.71,25.37
70,119,72,26.71,25.41
69,118,73,26.71,25.37
65,118,75,26.71,25.41
64,117,77,26.71,25.37
64,115,79,26.71,25.41
69,113,77,26.71,25.37
69,115,74,26.71,25.41
69,115,72,26.71,25.37
70,114,72,26.71,25.41
67,113,74,26.71,25.37
64,112,79,26.71,25.41
64,112,77,26.71,25.37
61,113,75,26.71,25.41
57,108,73,26.71,25.37
57,108,73,26.71,25.41
57,105,72,26.71,25.37
57,104,72,26.71,25.41
53,105,71,26.71,25.37
51,106,68,26.71,25.41
49,103,65,26.71,25.37
48,104,63,26.71,25.41
46,104,63,26.71,25.37
42,104,64,26.71,25.41
46,101,60,26.71,25.37
44,103,58,26.71,25.41
43,104,56,26.71,25.37
41,103,58,26.71,25.41
39,102,60,26.71,25.37
42,101,58,26.71,25.41
37,102,62,26.71,25.37
34,101,65,26.71,25.41
37,101,64,26.71,25.37
39,102,62,26.71,25.41
40,104,60,26.71,25.37
42,105,58,26.71,25.41
44,105,59,26.71,25.37
44,106,56,26.71,25.41
42,105,57,26.71,25.37
43,101,58,26.71,25.41
41,101,58,26.71,25.37
38,102,59,26.71,25.41
37,103,59,26.71,25.37
34,106,62,26.71,25.41
32,107,64,26.71,25.37
31,108,64,26.71,25.41
33,110,67,26.71,25.37
37,113,68,26.71,25.41
40,115,68,26.71,25.37
39,118,73,26.71,25.41
39,121,76,26.71,25.37
39,125,78,26.71,25.41
44,126,80,26.71,25.37
49,124,83,26.71,25.41
52,122,83,26.71,25.37
54,121,80,26.71,25.41
54,122,79,26.71,25.37
49,123,79,26.71,25.41
49,125,83,26.71,25.37
58,122,80,26.71,25.41
63,120,81,26.71,25.37
64,118,82,26.71,25.41
63,118,83,26.71,25.37
62,119,78,26.71,25.41
63,121,74,26.71,25.37
67,120,75,26.71,25.41
68,118,79,26.71,25.37
64,119,83,26.71,25.41
62,119,83,26.71,25.37
63,117,83,26.71,25.41
64,116,78,26.71,25.37
58,117,76,26.71,25.41
55,118,77,26.71,25.37
53,117,78,26.71,25.41
55,117,78,26.71,25.37
58,116,80,26.71,25.41
61,119,80,26.71,25.37
61,120,83,26.71,25.41
63,120,84,26.71,25.37
66,121,82,26.71,25.41
64,126,82,26.71,25.37
65,127,86,26.71,25.41
69,128,86,26.71,25.37
75,126,88,26.71,25.41
79,126,85,26.71,25.37
81,126,82,26.71,25.41
81,125,85,26.71,25.37
79,124,87,26.71,25.41
89,122,81,26.71,25.37
90,121,79,26.71,25.41
86,122,80,26.71,25.37
85,121,82,26.71,25.41
85,123,80,26.71,25.37
83,123,78,26.71,25.41
83,123,83,26.71,25.37
81,118,82,26.71,25.41
77,119,77,26.71,25.37
75,120,77,26.71,25.41
73,118,75,26.71,25.37
70,118,75,26.71,25.41
71,118,72,26.71,25.37
70,118,70,26.71,25.41
68,116,72,26.71,25.37
67,116,74,26.71,25.41
69,114,71,26.71,25.37
69,112,76,26.71,25.41
69,112,75,26.71,25.37
66,114,71,26.71,25.41
66,113,70,26.71,25.37
67,112,71,26.71,25.41
66,112,74,26.71,25.37
65,109,76,26.71,25.41
62,109,76,26.71,25.37
58,111,74,26.71,25.41
56,110,70,26.71,25.37
52,109,70,26.71,25.41
53,107,68,26.71,25.37
49,108,68,26.71,25.41
48,108,67,26.71,25.37
52,104,65,26.71,25.41
50,103,62,26.71,25.37
48,103,64,26.71,25.41
44,103,66,26.71,25.37
43,102,63,26.71,25.41
47,100,60,26.71,25.37
44,102,62,26.71,25.41
43,103,62,26.71,25.37
41,106,60,26.71,25.41
40,104,57,26.71,25.37
41,102,57,26.71,25.41
40,103,59,26.71,25.37
38,101,63,26.71,25.41
40,102,65,26.71,25.37
43,103,62,26.71,25.41
43,104,62,26.71,25.37
44,106,62,26.71,25.41
43,108,63,26.71,25.37
42,108,58,26.71,25.41
42,105,57,26.71,25.37
38,103,59,26.71,25.41
34,104,63,26.71,25.37
36,104,62,26.71,25.41
35,105,63,26.71,25.37
34,107,63,26.71,25.41
32,108,66,26.71,25.37
33,111,67,26.71,25.41
36,114,70,26.71,25.37
38,114,69,26.71,25.41
42,118,72,26.71,25.37
44,120,73,26.71,25.41
42,122,76,26.71,25.37
46,125,76,26.71,25.41
49,124,78,26.71,25.37
50,123,83,26.71,25.41
51,122,83,26.71,25.37
53,122,80,26.71,25.41
53,122,80,26.71,25.37
53,123,80,26.71,25.41
52,124,80,26.71,25.37
59,122,81,26.71,25.41
63,120,82,26.71,25.37
61,120,84,26.71,25.41
63,118,81,26.71,25.37
64,119,79,26.71,25.41
64,118,77,26.71,25.37
66,119,78,26.71,25.41
64,119,82,26.71,25.37
64,118,83,26.71,25.41
65,116,83,26.71,25.37
63,116,82,26.71,25.41
64,115,77,26.71,25.37
60,117,76,26.71,25.41
59,116,76,26.71,25.37
54,115,76,26.71,25.41
55,114,80,26.71,25.37
62,118,76,26.71,25.41
59,120,79,26.71,25.37
58,120,83,26.71,25.41
63,119,82,26.71,25.37
65,119,86,26.71,25.41
64,124,86,26.71,25.37
64,128,86,26.71,25.41
72,127,87,26.71,25.37
78,125,87,26.71,25.41
80,127,86,26.71,25.37
79,127,85,26.71,25.41
80,127,85,26.71,25.37
82,125,83,26.71,25.41
87,120,80,26.71,25.37
87,121,77,26.71,25.41
84,118,80,26.71,25.37
83,120,83,26.71,25.41
80,122,80,26.71,25.37
78,122,78,26.71,25.41
76,121,81,26.71,25.37
76,117,80,26.71,25.41
78,116,79,26.71,25.37
72,117,77,26.71,25.41
72,116,76,26.71,25.37
70,116,72,26.71,25.41
70,114,71,26.71,25.37
69,115,71,26.71,25.41
66,115,75,26.71,25.37
66,115,71,26.71,25.41
67,114,71,26.71,25.37
67,114,72,26.71,25.41
68,114,73,26.71,25.37
66,113,74,26.71,25.41
65,113,72,26.71,25.37
67,112,71,26.71,25.41
67,109,73,26.71,25.37
63,110,76,26.71,25.41
64,108,74,26.71,25.37
59,108,71,26.71,25.41
55,107,71,26.71,25.37
52,106,67,26.71,25.41
51,106,64,26.71,25.37
50,107,67,26.71,25.41
51,104,65,26.71,25.37
50,105,65,26.71,25.41
46,105,64,26.71,25.37
46,103,63,26.71,25.41
46,103,64,26.71,25.37
46,101,63,26.71,25.41
47,101,62,26.71,25.37
43,104,65,26.71,25.41
42,106,64,26.71,25.37
42,107,60,26.71,25.41
44,105,58,26.71,25.37
43,104,60,26.71,25.41
42,103,62,26.71,25.37
40,103,65,26.71,25.41
40,103,66,26.71,25.37
44,105,62,26.71,25.41
46,107,58,26.71,25.37
44,107,61,26.71,25.41
42,106,65,26.71,25.37
38,108,60,26.71,25.41
40,104,59,26.71,25.37
36,104,61,26.71,25.41
35,105,62,26.71,25.37
39,104,62,26.71,25.41
37,105,66,26.71,25.37
36,107,68,26.71,25.41
35,109,70,26.71,25.37
35,113,71,26.71,25.41
37,115,73,26.71,25.37
41,116,73,26.71,25.41
43,118,75,26.71,25.37
44,120,79,26.71,25.41
46,121,82,26.71,25.37
47,123,81,26.71,25.41
48,125,82,26.71,25.37
48,123,86,26.71,25.41
50,122,83,26.71,25.37
53,122,82,26.71,25.41
53,121,83,26.71,25.37
53,121,81,26.71,25.41
57,121,82,26.71,25.37
63,120,80,26.71,25.41
63,122,81,26.71,25.37
61,122,82,26.71,25.41
64,120,80,26.71,25.37
66,118,78,26.71,25.41
64,118,78,26.71,25.37
64,119,80,26.71,25.41
65,119,81,26.71,25.37
66,118,82,26.71,25.41
66,118,80,26.71,25.37
63,117,79,26.71,25.41
60,116,77,26.71,25.37
61,116,75,26.71,25.41
59,114,74,26.71,25.37
56,115,74,26.71,25.41
58,115,74,26.71,25.37
58,116,73,26.71,25.41
55,119,79,26.71,25.37
58,120,75,26.71,25.41
61,122,78,26.71,25.37
66,122,80,26.71,25.41
67,124,84,26.71,25.37
68,128,84,26.71,25.41
73,129,83,26.71,25.37
79,126,86,26.71,25.41
79,129,87,26.71,25.37
80,127,90,26.71,25.41
81,127,89,26.71,25.37
81,126,85,26.71,25.41
85,119,78,26.71,25.37
85,118,79,26.71,25.41
83,116,83,26.71,25.37
82,115,81,26.71,25.41
78,119,81,26.71,25.37
74,121,81,26.71,25.41
73,118,81,26.71,25.37
74,115,80,26.71,25.41
74,115,77,26.71,25.37
69,117,77,26.71,25.41
66,116,73,26.71,25.37
67,115,72,26.71,25.41
68,113,74,26.71,25.37
68,112,75,26.71,25.41
66,113,74,26.71,25.37
64,114,71,26.71,25.41
63,115,67,26.71,25.37
65,115,68,26.71,25.41
64,114,72,26.71,25.37
65,113,72,26.71,25.41
65,111,72,26.71,25.37
65,110,74,26.71,25.41
62,109,73,26.71,25.37
61,108,76,26.71,25.41
60,107,73,26.71,25.37
57,105,68,26.71,25.41
54,104,68,26.71,25.37
49,106,63,26.71,25.41
47,107,64,26.71,25.37
48,105,64,26.71,25.41
50,105,62,26.71,25.37
49,104,66,26.71,25.41
45,103,66,26.71,25.37
44,106,61,26.71,25.41
48,103,60,26.71,25.37
45,103,64,26.71,25.41
48,103,63,26.71,25.37
45,105,66,26.71,25.41
47,105,63,26.71,25.37
47,106,60,26.71,25.41
46,105,63,26.71,25.37
45,106,63,26.71,25.41
43,105,64,26.71,25.37
43,104,63,26.71,25.41
46,107,61,26.71,25.37
47,106,64,26.71,25.41
49,107,59,26.71,25.37
52,104,61,26.71,25.41
45,107,63,26.71,25.37
