Index,Row,Col,R,G,B
232,2,32,51,107,56
233,2,33,51,106,57
234,2,34,52,106,55
235,2,35,50,110,52
236,2,36,51,110,57
237,2,37,55,109,56
238,2,38,56,110,53
239,2,39,54,110,54
240,2,40,52,111,57
241,2,41,53,110,56
242,2,42,54,112,55
243,2,43,59,111,49
244,2,44,58,111,51
245,2,45,57,111,53
246,2,46,59,112,50
247,2,47,58,112,50
248,2,48,56,112,48
249,2,49,56,111,54
250,2,50,54,109,58
251,2,51,52,111,57
252,2,52,51,112,59
253,2,53,53,111,59
254,2,54,57,110,58
255,2,55,58,107,60
256,2,56,53,111,61
257,2,57,53,112,53
258,2,58,54,113,55
259,2,59,55,109,61
260,2,60,54,109,59
261,2,61,55,108,62
262,2,62,58,109,54
263,2,63,55,110,56
264,2,64,51,112,58
265,2,65,52,112,59
266,2,66,54,110,61
267,2,67,57,110,60
268,2,68,59,110,60
269,2,69,60,111,60
270,2,70,63,111,59
271,2,71,61,112,54
272,2,72,60,113,58
273,2,73,54,115,59
274,2,74,55,115,62
275,2,75,59,114,60
276,2,76,62,114,55
277,2,77,63,113,55
278,2,78,62,112,58
279,2,79,64,110,58
280,2,80,64,109,62
281,2,81,62,111,61
282,2,82,60,114,65
283,2,83,64,110,59
284,2,84,66,108,62
285,2,85,63,112,59
286,2,86,63,112,59
287,2,87,68,111,53
288,2,88,66,111,53
289,2,89,65,110,58
290,2,90,64,112,58
291,2,91,65,112,55
292,2,92,65,115,56
293,2,93,64,115,57
294,2,94,62,114,59
295,2,95,61,114,58
296,2,96,60,115,61
297,2,97,64,114,65
298,2,98,66,111,62
299,2,99,65,114,62
300,3,0,42,97,48
301,3,1,45,96,49
302,3,2,45,95,43
303,3,3,45,99,42
304,3,4,45,98,43
305,3,5,47,94,47
306,3,6,48,91,49
307,3,7,48,93,49
308,3,8,46,95,48
309,3,9,45,96,51
310,3,10,44,94,53
311,3,11,45,94,55
312,3,12,44,94,55
313,3,13,44,98,48
314,3,14,42,100,49
315,3,15,43,100,49
316,3,16,46,97,49
317,3,17,48,95,50
318,3,18,48,97,52
319,3,19,45,101,52
320,3,20,45,101,53
321,3,21,48,101,53
322,3,22,48,102,53
323,3,23,49,101,53
324,3,24,49,101,54
325,3,25,47,103,56
326,3,26,46,105,50
327,3,27,46,103,53
328,3,28,47,102,54
329,3,29,52,105,49
330,3,30,52,107,49
331,3,31,53,108,48
332,3,32,50,108,53
333,3,33,47,110,57
334,3,34,52,109,53
335,3,35,52,110,53
336,3,36,53,108,54
337,3,37,54,109,55
338,3,38,57,109,57
339,3,39,52,111,56
340,3,40,49,112,58
341,3,41,52,111,56
342,3,42,51,115,54
343,3,43,56,113,50
344,3,44,57,112,51
345,3,45,53,113,55
346,3,46,55,113,55
347,3,47,57,113,56
348,3,48,56,113,54
349,3,49,54,112,56
350,3,50,51,111,61
351,3,51,52,110,57
352,3,52,54,110,59
353,3,53,56,109,61
354,3,54,56,108,61
355,3,55,54,108,62
356,3,56,56,110,61
357,3,57,54,112,60
358,3,58,51,111,58
359,3,59,52,111,61
360,3,60,54,108,63
361,3,61,56,108,63
362,3,62,57,109,61
363,3,63,55,112,58
364,3,64,52,112,56
365,3,65,51,113,58
366,3,66,56,110,59
367,3,67,59,110,54
368,3,68,58,111,58
369,3,69,59,110,62
370,3,70,60,110,63
371,3,71,59,112,60
372,3,72,63,111,58
373,3,73,60,111,59
374,3,74,59,114,58
375,3,75,60,114,59
376,3,76,63,114,52
377,3,77,63,114,57
378,3,78,61,113,60
379,3,79,63,110,58
380,3,80,64,110,59
381,3,81,66,110,54
382,3,82,63,111,57
383,3,83,64,109,60
384,3,84,66,107,65
385,3,85,66,109,58
386,3,86,63,112,54
387,3,87,65,109,60
388,3,88,65,109,57
389,3,89,65,110,54
390,3,90,65,110,55
391,3,91,63,113,54
392,3,92,61,117,49
393,3,93,62,116,55
394,3,94,62,116,56
395,3,95,62,115,59
396,3,96,62,113,61
397,3,97,66,111,62
398,3,98,66,112,61
399,3,99,65,113,61
400,4,0,44,96,46
401,4,1,45,94,48
402,4,2,47,93,44
403,4,3,48,94,44
404,4,4,46,95,46
405,4,5,45,94,50
406,4,6,44,93,51
407,4,7,44,95,47
408,4,8,47,95,40
409,4,9,42,95,47
410,4,10,42,96,51
411,4,11,46,95,50
412,4,12,45,96,50
413,4,13,43,100,47
414,4,14,41,101,47
415,4,15,40,99,49
416,4,16,47,98,52
417,4,17,47,98,49
418,4,18,46,98,53
419,4,19,43,101,54
420,4,20,46,101,54
421,4,21,44,103,56
422,4,22,48,101,56
423,4,23,49,100,55
424,4,24,47,102,55
425,4,25,47,104,52
426,4,26,47,103,52
427,4,27,51,97,57
428,4,28,51,101,54
429,4,29,49,106,50
430,4,30,49,109,50
431,4,31,50,109,52
432,4,32,51,107,51
433,4,33,49,110,53
434,4,34,52,110,52
435,4,35,55,110,51
436,4,36,53,110,55
437,4,37,51,110,57
438,4,38,52,111,59
439,4,39,49,113,57
440,4,40,47,113,59
441,4,41,51,112,58
442,4,42,53,112,55
443,4,43,55,113,52
444,4,44,57,113,51
445,4,45,50,115,56
446,4,46,51,116,57
447,4,47,52,116,57
448,4,48,56,114,56
449,4,49,55,112,56
450,4,50,52,112,61
451,4,51,54,109,63
452,4,52,58,107,60
453,4,53,59,108,63
454,4,54,59,107,66
455,4,55,57,109,60
456,4,56,54,109,63
457,4,57,56,110,62
458,4,58,55,111,58
459,4,59,50,111,60
460,4,60,47,106,66
461,4,61,53,109,64
462,4,62,55,111,56
463,4,63,56,112,53
464,4,64,55,112,55
465,4,65,57,110,57
466,4,66,60,108,56
467,4,67,62,109,51
468,4,68,56,111,55
469,4,69,56,112,59
470,4,70,57,112,61
471,4,71,60,110,59
472,4,72,62,111,59
473,4,73,65,110,60
474,4,74,63,112,61
475,4,75,63,111,57
476,4,76,64,110,56
477,4,77,63,110,59
478,4,78,61,110,58
479,4,79,60,111,58
480,4,80,61,111,59
481,4,81,62,111,55
482,4,82,61,111,57
483,4,83,61,110,60
484,4,84,60,109,63
485,4,85,65,107,62
486,4,86,63,110,57
487,4,87,63,109,59
488,4,88,62,110,56
489,4,89,62,111,56
490,4,90,62,112,55
491,4,91,62,113,54
492,4,92,63,114,52
493,4,93,63,115,54
494,4,94,60,115,57
495,4,95,61,114,62
496,4,96,67,111,58
497,4,97,67,111,58
498,4,98,64,113,57
499,4,99,63,112,59
500,5,0,40,97,48
501,5,1,43,95,48
502,5,2,47,92,51
503,5,3,47,93,49
504,5,4,46,93,49
505,5,5,42,92,57
506,5,6,41,92,56
507,5,7,38,96,51
508,5,8,42,97,46
509,5,9,42,98,49
510,5,10,44,96,51
511,5,11,44,96,50
512,5,12,46,98,46
513,5,13,45,100,45
514,5,14,41,101,46
515,5,15,40,101,49
516,5,16,47,98,49
517,5,17,50,98,50
518,5,18,45,99,55
519,5,19,43,102,56
520,5,20,46,102,53
521,5,21,46,102,52
522,5,22,47,101,54
523,5,23,48,101,53
524,5,24,45,104,51
525,5,25,46,104,52
526,5,26,49,101,53
527,5,27,51,100,55
528,5,28,50,103,54
529,5,29,48,108,51
530,5,30,48,108,50
531,5,31,49,107,52
532,5,32,49,110,56
533,5,33,45,113,54
534,5,34,47,113,53
535,5,35,51,112,52
536,5,36,52,112,56
537,5,37,50,113,57
538,5,38,50,114,58
539,5,39,50,113,58
540,5,40,47,113,58
541,5,41,48,115,58
542,5,42,51,112,59
543,5,43,54,113,55
544,5,44,57,114,50
545,5,45,56,114,55
546,5,46,53,116,57
547,5,47,53,114,55
548,5,48,54,114,58
549,5,49,57,112,56
550,5,50,56,114,55
551,5,51,57,112,61
552,5,52,58,109,62
553,5,53,58,110,61
554,5,54,58,109,61
555,5,55,57,110,61
556,5,56,54,111,56
557,5,57,56,109,57
558,5,58,54,111,54
559,5,59,52,112,58
560,5,60,51,111,63
561,5,61,53,109,60
562,5,62,51,111,58
563,5,63,55,112,54
564,5,64,59,112,53
565,5,65,59,111,51
566,5,66,60,109,54
567,5,67,57,109,56
568,5,68,57,110,57
569,5,69,58,109,58
570,5,70,59,109,56
571,5,71,58,113,60
572,5,72,60,111,55
573,5,73,64,111,56
574,5,74,63,110,59
575,5,75,60,110,59
576,5,76,61,111,58
577,5,77,63,107,60
578,5,78,63,109,59
579,5,79,62,109,59
580,5,80,61,109,59
581,5,81,61,111,55
582,5,82,59,111,56
583,5,83,60,111,56
584,5,84,57,110,61
585,5,85,61,109,59
586,5,86,59,111,58
587,5,87,63,110,55
588,5,88,61,109,56
589,5,89,62,110,57
590,5,90,63,110,56
591,5,91,62,110,54
592,5,92,61,112,52
593,5,93,62,111,53
594,5,94,63,111,57
595,5,95,65,113,56
596,5,96,68,113,53
597,5,97,68,113,56
598,5,98,68,114,56
599,5,99,63,114,55
600,6,0,38,98,47
601,6,1,43,95,44
602,6,2,47,93,49
603,6,3,43,96,51
604,6,4,42,97,52
605,6,5,38,97,56
606,6,6,39,95,54
607,6,7,38,98,52
608,6,8,39,98,51
609,6,9,43,97,49
610,6,10,43,98,54
611,6,11,42,98,50
612,6,12,45,100,47
613,6,13,45,99,47
614,6,14,44,100,49
615,6,15,45,100,51
616,6,16,43,101,54
617,6,17,46,100,52
618,6,18,46,101,53
619,6,19,44,102,54
620,6,20,45,103,51
621,6,21,47,102,52
622,6,22,46,103,50
623,6,23,45,105,43
624,6,24,48,104,48
625,6,25,50,98,51
626,6,26,52,99,51
627,6,27,52,103,52
628,6,28,50,103,55
629,6,29,47,106,54
630,6,30,44,106,53
631,6,31,50,107,54
632,6,32,51,108,54
633,6,33,45,112,54
634,6,34,45,112,55
635,6,35,52,113,52
636,6,36,53,114,53
637,6,37,50,115,56
638,6,38,47,115,59
639,6,39,51,114,59
640,6,40,51,113,58
641,6,41,50,113,57
642,6,42,52,113,59
643,6,43,55,115,55
644,6,44,57,116,48
645,6,45,58,114,52
646,6,46,54,114,53
647,6,47,55,112,57
648,6,48,56,113,58
649,6,49,57,114,55
650,6,50,56,115,56
651,6,51,56,115,55
652,6,52,56,113,58
653,6,53,55,113,62
654,6,54,56,110,63
655,6,55,58,110,59
656,6,56,54,113,56
657,6,57,53,113,57
658,6,58,57,111,54
659,6,59,55,111,55
660,6,60,51,110,60
661,6,61,54,109,58
662,6,62,54,109,57
663,6,63,57,109,54
664,6,64,61,107,52
665,6,65,59,110,50
666,6,66,57,109,52
667,6,67,55,110,56
668,6,68,56,107,59
669,6,69,58,106,59
670,6,70,62,106,57
671,6,71,58,109,58
672,6,72,60,111,54
673,6,73,62,110,53
674,6,74,58,111,55
675,6,75,62,110,60
676,6,76,63,109,57
677,6,77,63,110,56
678,6,78,63,110,56
679,6,79,65,108,57
680,6,80,62,109,58
681,6,81,60,111,57
682,6,82,61,110,51
683,6,83,59,112,52
684,6,84,56,112,56
685,6,85,59,111,57
686,6,86,61,110,56
687,6,87,64,111,52
688,6,88,63,110,53
689,6,89,63,110,55
690,6,90,65,108,56
691,6,91,64,109,57
692,6,92,64,109,56
693,6,93,61,111,57
694,6,94,60,112,60
695,6,95,63,112,55
696,6,96,66,114,55
697,6,97,67,114,55
698,6,98,68,112,55
699,6,99,64,113,56
700,7,0,42,94,50
701,7,1,46,92,48
702,7,2,44,94,48
703,7,3,43,97,47
704,7,4,43,97,49
705,7,5,41,96,49
706,7,6,42,96,49
707,7,7,45,94,50
708,7,8,42,97,51
709,7,9,46,94,52
710,7,10,43,98,52
711,7,11,43,101,46
712,7,12,43,101,46
713,7,13,43,100,50
714,7,14,42,102,51
715,7,15,43,102,50
716,7,16,42,101,55
717,7,17,44,100,57
718,7,18,45,101,54
719,7,19,44,103,52
720,7,20,48,101,49
721,7,21,47,103,45
722,7,22,48,103,47
723,7,23,48,105,45
724,7,24,51,102,44
725,7,25,52,99,50
726,7,26,52,98,52
727,7,27,53,100,49
728,7,28,53,103,50
729,7,29,50,105,51
730,7,30,48,106,54
731,7,31,49,108,55
732,7,32,50,109,54
733,7,33,46,110,54
734,7,34,46,110,57
735,7,35,49,113,54
736,7,36,50,114,56
737,7,37,51,113,58
738,7,38,48,114,59
739,7,39,54,113,56
740,7,40,53,113,56
741,7,41,54,113,58
742,7,42,55,112,58
743,7,43,53,115,56
744,7,44,56,115,52
745,7,45,58,113,55
746,7,46,54,113,56
747,7,47,52,114,62
748,7,48,56,113,59
749,7,49,56,112,58
750,7,50,55,114,58
751,7,51,54,116,58
752,7,52,53,114,58
753,7,53,53,113,61
754,7,54,55,113,64
755,7,55,54,112,62
756,7,56,54,113,58
757,7,57,54,113,56
758,7,58,55,111,56
759,7,59,52,112,54
760,7,60,54,110,57
761,7,61,53,108,59
762,7,62,53,108,61
763,7,63,57,107,57
764,7,64,58,105,57
765,7,65,57,105,57
766,7,66,53,110,57
767,7,67,56,107,55
