Index,Row,Col,R,G,B
265,2,65,28,73,39
266,2,66,30,69,33
267,2,67,31,68,35
268,2,68,30,65,32
269,2,69,31,64,34
270,2,70,31,61,34
271,2,71,27,61,36
272,2,72,32,57,34
273,2,73,27,57,28
274,2,74,27,56,29
275,2,75,24,56,27
276,2,76,25,50,28
277,2,77,21,49,27
278,2,78,15,56,30
279,2,79,20,53,29
280,2,80,19,55,25
281,2,81,22,57,26
282,2,82,29,61,28
283,2,83,37,63,25
284,2,84,43,64,32
285,2,85,41,66,39
286,2,86,42,66,36
287,2,87,45,66,36
288,2,88,44,66,43
289,2,89,53,65,48
290,2,90,55,66,50
291,2,91,57,64,50
292,2,92,57,62,55
293,2,93,59,56,58
294,2,94,62,55,58
295,2,95,60,57,53
296,2,96,58,55,51
297,2,97,62,52,55
298,2,98,62,52,56
299,2,99,62,52,50
300,3,0,60,59,58
301,3,1,58,65,57
302,3,2,57,66,53
303,3,3,53,62,60
304,3,4,58,66,58
305,3,5,54,76,52
306,3,6,50,79,48
307,3,7,51,80,48
308,3,8,50,83,46
309,3,9,49,83,48
310,3,10,53,82,41
311,3,11,51,83,40
312,3,12,44,86,46
313,3,13,43,80,46
314,3,14,44,79,44
315,3,15,43,78,45
316,3,16,41,78,43
317,3,17,43,79,43
318,3,18,42,77,39
319,3,19,40,79,41
320,3,20,39,79,36
321,3,21,41,77,37
322,3,22,40,74,37
323,3,23,44,73,39
324,3,24,45,73,37
325,3,25,44,76,35
326,3,26,41,75,37
327,3,27,40,74,43
328,3,28,40,78,41
329,3,29,43,74,41
330,3,30,43,76,41
331,3,31,44,76,42
332,3,32,43,76,43
333,3,33,40,80,40
334,3,34,40,79,38
335,3,35,42,80,39
336,3,36,40,78,40
337,3,37,38,77,39
338,3,38,41,75,43
339,3,39,37,73,42
340,3,40,33,73,43
341,3,41,32,72,42
342,3,42,31,70,36
343,3,43,30,69,33
344,3,44,29,70,32
345,3,45,31,65,36
346,3,46,34,65,33
347,3,47,32,70,25
348,3,48,32,69,32
349,3,49,29,69,36
350,3,50,28,73,38
351,3,51,32,71,33
352,3,52,37,68,34
353,3,53,35,64,35
354,3,54,40,62,34
355,3,55,38,68,29
356,3,56,38,66,27
357,3,57,32,66,30
358,3,58,26,69,36
359,3,59,34,66,38
360,3,60,34,64,39
361,3,61,32,70,36
362,3,62,33,72,39
363,3,63,33,70,39
364,3,64,29,72,41
365,3,65,26,72,36
366,3,66,26,73,35
367,3,67,29,70,37
368,3,68,27,71,30
369,3,69,31,67,27
370,3,70,32,65,25
371,3,71,27,63,34
372,3,72,29,61,29
373,3,73,29,58,27
374,3,74,28,51,31
375,3,75,24,53,33
376,3,76,24,49,30
377,3,77,21,53,29
378,3,78,19,51,27
379,3,79,17,53,27
380,3,80,17,54,26
381,3,81,19,49,28
382,3,82,23,52,27
383,3,83,28,61,24
384,3,84,30,62,30
385,3,85,38,63,39
386,3,86,42,64,39
387,3,87,42,68,38
388,3,88,46,64,41
389,3,89,48,65,45
390,3,90,50,66,49
391,3,91,48,69,52
392,3,92,52,66,51
393,3,93,56,61,56
394,3,94,60,62,52
395,3,95,62,57,53
396,3,96,61,56,54
397,3,97,63,54,52
398,3,98,64,53,52
399,3,99,62,52,55
400,4,0,64,63,56
401,4,1,61,66,58
402,4,2,61,68,55
403,4,3,59,70,56
404,4,4,60,72,55
405,4,5,57,75,56
406,4,6,48,79,55
407,4,7,49,82,51
408,4,8,53,83,43
409,4,9,49,84,47
410,4,10,50,84,45
411,4,11,51,86,42
412,4,12,47,86,47
413,4,13,45,83,42
414,4,14,49,83,36
415,4,15,47,80,44
416,4,16,44,78,47
417,4,17,41,82,45
418,4,18,39,84,38
419,4,19,38,82,40
420,4,20,38,80,45
421,4,21,41,77,42
422,4,22,43,74,41
423,4,23,46,74,39
424,4,24,46,74,38
425,4,25,43,77,36
426,4,26,42,76,41
427,4,27,47,72,45
428,4,28,48,73,45
429,4,29,48,76,41
430,4,30,44,80,42
431,4,31,46,80,37
432,4,32,47,80,42
433,4,33,46,77,43
434,4,34,44,81,41
435,4,35,45,81,39
436,4,36,43,82,39
437,4,37,38,81,46
438,4,38,40,79,42
439,4,39,41,78,44
440,4,40,39,73,41
441,4,41,33,76,42
442,4,42,33,71,38
443,4,43,34,70,38
444,4,44,30,67,39
445,4,45,30,63,43
446,4,46,33,64,38
447,4,47,33,68,28
448,4,48,31,69,33
449,4,49,29,69,32
450,4,50,27,74,33
451,4,51,29,74,30
452,4,52,31,70,35
453,4,53,35,63,38
454,4,54,38,64,34
455,4,55,37,66,35
456,4,56,32,67,32
457,4,57,28,69,36
458,4,58,26,69,35
459,4,59,31,69,36
460,4,60,32,68,38
461,4,61,33,71,39
462,4,62,33,71,37
463,4,63,33,70,38
464,4,64,30,73,37
465,4,65,30,75,35
466,4,66,28,72,36
467,4,67,30,67,37
468,4,68,27,70,33
469,4,69,28,68,31
470,4,70,32,62,29
471,4,71,24,62,33
472,4,72,25,61,29
473,4,73,27,57,26
474,4,74,28,54,29
475,4,75,24,49,35
476,4,76,23,51,27
477,4,77,20,52,24
478,4,78,17,50,26
479,4,79,20,51,21
480,4,80,18,50,25
481,4,81,17,50,26
482,4,82,22,50,22
483,4,83,25,54,23
484,4,84,25,54,28
485,4,85,33,57,33
486,4,86,38,60,36
487,4,87,41,64,32
488,4,88,47,66,26
489,4,89,44,65,38
490,4,90,39,71,51
491,4,91,43,65,48
492,4,92,50,66,51
493,4,93,50,67,51
494,4,94,47,65,55
495,4,95,52,60,54
496,4,96,54,63,57
497,4,97,59,58,53
498,4,98,64,52,56
499,4,99,63,50,59
500,5,0,68,63,60
501,5,1,62,67,60
502,5,2,58,71,56
503,5,3,59,72,53
504,5,4,57,75,53
505,5,5,54,75,57
506,5,6,47,79,55
507,5,7,44,85,50
508,5,8,49,85,43
509,5,9,50,85,47
510,5,10,47,87,49
511,5,11,50,86,44
512,5,12,50,87,44
513,5,13,45,87,51
514,5,14,46,85,48
515,5,15,48,81,47
516,5,16,45,82,47
517,5,17,46,80,50
518,5,18,42,83,39
519,5,19,43,83,38
520,5,20,44,80,40
521,5,21,45,78,41
522,5,22,47,77,41
523,5,23,45,76,42
524,5,24,46,77,38
525,5,25,46,79,39
526,5,26,45,79,44
527,5,27,46,78,46
528,5,28,45,77,47
529,5,29,43,81,41
530,5,30,42,85,43
531,5,31,41,85,43
532,5,32,43,82,42
533,5,33,45,79,43
534,5,34,49,81,43
535,5,35,48,83,41
536,5,36,44,82,41
537,5,37,42,84,44
538,5,38,42,83,45
539,5,39,44,80,42
540,5,40,41,79,46
541,5,41,38,79,47
542,5,42,38,74,38
543,5,43,39,73,39
544,5,44,33,69,41
545,5,45,29,66,41
546,5,46,28,71,39
547,5,47,28,68,34
548,5,48,22,74,37
549,5,49,25,73,36
550,5,50,27,71,34
551,5,51,28,72,32
552,5,52,29,63,37
553,5,53,36,67,37
554,5,54,36,64,35
555,5,55,34,66,33
556,5,56,29,70,36
557,5,57,30,69,34
558,5,58,27,74,34
559,5,59,29,72,34
560,5,60,32,71,35
561,5,61,31,72,38
562,5,62,31,70,40
563,5,63,30,74,38
564,5,64,29,72,41
565,5,65,29,73,39
566,5,66,31,71,39
567,5,67,32,67,40
568,5,68,32,67,36
569,5,69,30,70,31
570,5,70,28,67,34
571,5,71,26,65,32
572,5,72,26,58,32
573,5,73,27,55,31
574,5,74,27,54,27
575,5,75,21,49,30
576,5,76,19,51,30
577,5,77,20,52,21
578,5,78,21,48,21
579,5,79,24,46,19
580,5,80,19,53,27
581,5,81,15,49,22
582,5,82,22,48,19
583,5,83,22,51,20
584,5,84,21,54,28
585,5,85,23,54,25
586,5,86,29,57,31
587,5,87,32,64,32
588,5,88,34,71,32
589,5,89,41,64,31
590,5,90,41,63,34
591,5,91,47,60,41
592,5,92,46,60,46
593,5,93,47,65,53
594,5,94,48,63,52
595,5,95,49,65,52
596,5,96,49,65,53
597,5,97,52,62,57
598,5,98,58,58,57
599,5,99,60,54,55
600,6,0,67,66,64
601,6,1,64,68,62
602,6,2,56,71,59
603,6,3,55,74,53
604,6,4,52,79,53
605,6,5,51,77,52
606,6,6,48,81,47
607,6,7,45,86,50
608,6,8,43,86,49
609,6,9,45,87,50
610,6,10,49,86,49
611,6,11,52,86,47
612,6,12,49,86,48
613,6,13,45,88,49
614,6,14,49,87,43
615,6,15,51,83,40
616,6,16,48,81,47
617,6,17,47,80,50
618,6,18,46,81,45
619,6,19,46,82,41
620,6,20,47,80,41
621,6,21,50,77,43
622,6,22,48,80,42
623,6,23,49,81,40
624,6,24,47,79,43
625,6,25,43,84,44
626,6,26,46,83,43
627,6,27,45,82,45
628,6,28,47,80,44
629,6,29,49,82,44
630,6,30,46,83,47
631,6,31,43,84,50
632,6,32,43,85,48
633,6,33,47,84,43
634,6,34,48,83,46
635,6,35,46,86,45
636,6,36,47,86,42
637,6,37,47,84,46
638,6,38,47,83,42
639,6,39,47,83,41
640,6,40,44,84,47
641,6,41,43,79,44
642,6,42,41,80,39
643,6,43,35,78,42
644,6,44,34,75,42
645,6,45,32,72,43
646,6,46,31,71,39
647,6,47,32,72,34
648,6,48,31,70,36
649,6,49,31,69,40
650,6,50,32,67,37
651,6,51,30,71,34
652,6,52,33,69,35
653,6,53,34,71,37
654,6,54,30,69,35
655,6,55,33,69,30
656,6,56,28,72,32
657,6,57,31,71,35
658,6,58,29,71,32
659,6,59,30,74,33
660,6,60,34,69,34
661,6,61,32,70,38
662,6,62,32,70,41
663,6,63,33,71,40
664,6,64,31,75,37
665,6,65,32,70,41
666,6,66,28,73,39
667,6,67,28,71,39
668,6,68,32,66,39
669,6,69,27,67,35
670,6,70,26,65,36
671,6,71,28,62,32
672,6,72,23,61,35
673,6,73,23,58,31
674,6,74,25,56,28
675,6,75,22,53,29
676,6,76,20,48,28
677,6,77,19,48,25
678,6,78,20,47,24
679,6,79,21,47,26
680,6,80,15,50,23
681,6,81,11,49,25
682,6,82,16,51,22
683,6,83,16,49,24
684,6,84,19,48,24
685,6,85,19,53,24
686,6,86,27,56,21
687,6,87,27,56,30
688,6,88,26,63,32
689,6,89,30,60,30
690,6,90,36,62,33
691,6,91,40,59,37
692,6,92,42,61,45
693,6,93,44,59,50
694,6,94,44,60,47
695,6,95,48,64,45
696,6,96,49,63,49
697,6,97,48,64,53
698,6,98,52,61,53
699,6,99,53,58,50
700,7,0,65,67,59
701,7,1,61,69,60
702,7,2,56,72,54
703,7,3,53,75,52
704,7,4,51,76,52
705,7,5,50,80,48
706,7,6,48,84,42
707,7,7,49,84,46
708,7,8,48,84,47
709,7,9,48,87,50
710,7,10,49,88,45
711,7,11,51,86,45
712,7,12,48,88,51
713,7,13,46,89,48
714,7,14,51,89,44
715,7,15,52,86,44
716,7,16,52,85,41
717,7,17,46,84,43
718,7,18,47,80,46
719,7,19,47,83,43
720,7,20,48,81,37
721,7,21,47,82,40
722,7,22,47,84,41
723,7,23,49,83,41
724,7,24,50,81,42
725,7,25,48,83,44
726,7,26,47,84,41
727,7,27,47,84,42
728,7,28,49,84,39
729,7,29,51,82,41
730,7,30,50,83,46
731,7,31,44,87,48
732,7,32,44,87,48
733,7,33,45,85,52
734,7,34,47,85,46
735,7,35,47,87,46
736,7,36,48,86,45
737,7,37,49,86,47
738,7,38,47,86,47
739,7,39,47,85,47
740,7,40,48,83,42
741,7,41,46,80,40
742,7,42,41,83,44
743,7,43,38,79,44
744,7,44,34,78,43
745,7,45,35,72,41
746,7,46,32,72,39
747,7,47,32,73,31
748,7,48,33,70,31
749,7,49,32,68,39
750,7,50,34,67,37
751,7,51,32,69,35
752,7,52,32,68,35
753,7,53,31,75,34
754,7,54,27,71,35
755,7,55,30,70,33
756,7,56,29,72,28
757,7,57,28,69,34
758,7,58,29,70,36
759,7,59,34,73,30
760,7,60,31,71,33
761,7,61,32,68,38
762,7,62,34,69,37
763,7,63,34,70,37
764,7,64,30,78,38
765,7,65,33,70,41
766,7,66,33,70,38
767,7,67,31,70,36
768,7,68,30,71,37
769,7,69,30,67,36
770,7,70,26,67,35
771,7,71,25,64,32
772,7,72,24,63,29
773,7,73,22,60,28
774,7,74,21,58,28
775,7,75,24,51,25
776,7,76,16,55,25
777,7,77,13,52,26
778,7,78,17,51,26
779,7,79,18,49,22
780,7,80,16,47,22
781,7,81,11,48,32
782,7,82,13,49,29
783,7,83,16,48,19
784,7,84,13,49,19
785,7,85,14,52,22
786,7,86,16,51,22
787,7,87,23,46,30
788,7,88,30,55,24
789,7,89,28,62,23
790,7,90,27,61,37
791,7,91,31,61,41
792,7,92,35,59,38
793,7,93,36,61,38
794,7,94,36,61,43
795,7,95,43,62,45
796,7,96,46,59,49
797,7,97,50,58,51
798,7,98,50,62,46
799,7,99,53,59,48
800,8,0,63,70,59
801,8,1,56,70,59
802,8,2,55,77,50
803,8,3,51,82,46
804,8,4,53,79,46
805,8,5,52,83,46
806,8,6,49,87,46
807,8,7,49,87,49
808,8,8,49,86,47
809,8,9,48,87,47
810,8,10,49,88,49
811,8,11,52,86,47
812,8,12,48,88,49
813,8,13,49,89,46
814,8,14,52,88,47
815,8,15,52,85,47
816,8,16,52,85,45
817,8,17,45,87,42
818,8,18,48,84,42
819,8,19,51,82,41
820,8,20,50,83,38
821,8,21,49,84,37
822,8,22,47,84,43
823,8,23,47,84,44
824,8,24,48,84,44
825,8,25,49,85,41
826,8,26,48,85,44
827,8,27,49,84,43
828,8,28,51,83,38
829,8,29,50,87,40
830,8,30,47,87,46
831,8,31,47,86,47
832,8,32,45,85,51
833,8,33,47,87,47
834,8,34,52,87,42
835,8,35,50,87,43
836,8,36,50,88,45
837,8,37,50,89,46
838,8,38,51,88,47
839,8,39,50,85,44
840,8,40,48,85,45
841,8,41,47,84,44
842,8,42,44,85,43
843,8,43,41,79,47
844,8,44,39,76,46
845,8,45,36,76,42
846,8,46,34,75,42
847,8,47,34,74,35
848,8,48,36,70,32
849,8,49,36,63,37
850,8,50,35,65,37
851,8,51,34,68,33
852,8,52,33,70,31
853,8,53,29,73,28
854,8,54,29,72,32
855,8,55,29,69,36
856,8,56,32,70,33
857,8,57,30,69,32
858,8,58,29,69,40
859,8,59,30,71,32
860,8,60,30,71,35
861,8,61,32,70,37
862,8,62,33,72,32
863,8,63,33,73,36
864,8,64,34,70,39
865,8,65,36,68,38
866,8,66,35,69,32
867,8,67,32,71,34
868,8,68,34,68,32
869,8,69,34,66,27
870,8,70,30,67,33
871,8,71,25,66,35
872,8,72,27,62,29
873,8,73,26,58,29
874,8,74,23,56,30
875,8,75,25,55,22
876,8,76,20,56,21
877,8,77,17,50,32
878,8,78,18,45,31
879,8,79,19,47,21
880,8,80,17,48,23
881,8,81,15,45,25
882,8,82,11,48,30
883,8,83,14,48,22
884,8,84,15,43,24
885,8,85,16,46,24
886,8,86,17,48,18
887,8,87,17,45,25
888,8,88,21,49,24
889,8,89,21,55,18
890,8,90,22,54,29
891,8,91,23,55,37
892,8,92,29,56,32
893,8,93,34,58,29
894,8,94,35,59,36
895,8,95,38,56,44
896,8,96,40,56,48
897,8,97,48,58,42
898,8,98,47,62,42
899,8,99,47,61,47
900,9,0,63,76,53
901,9,1,58,77,55
902,9,2,49,81,54
903,9,3,50,84,49
904,9,4,53,83,46
905,9,5,54,83,45
906,9,6,52,85,47
907,9,7,49,88,49
908,9,8,48,87,48
909,9,9,46,90,48
910,9,10,49,88,47
911,9,11,50,86,50
912,9,12,51,85,48
913,9,13,47,90,49
914,9,14,48,89,50
915,9,15,53,83,48
916,9,16,52,83,44
917,9,17,49,85,46
918,9,18,50,85,41
919,9,19,50,84,41
920,9,20,46,85,43
921,9,21,51,83,40
922,9,22,50,81,43
923,9,23,49,86,46
924,9,24,48,86,45
925,9,25,48,85,45
926,9,26,47,84,47
927,9,27,48,85,44
928,9,28,52,84,45
929,9,29,49,87,45
930,9,30,42,91,50
931,9,31,45,89,50
932,9,32,48,85,48
933,9,33,49,86,42
934,9,34,47,90,43
935,9,35,48,89,47
936,9,36,50,88,45
937,9,37,51,89,45
938,9,38,52,88,44
939,9,39,51,87,44
940,9,40,51,86,44
941,9,41,50,86,45
942,9,42,47,84,44
943,9,43,44,79,50
944,9,44,40,76,48
945,9,45,38,79,45
946,9,46,34,74,41
947,9,47,45,69,39
948,9,48,40,69,34
949,9,49,36,66,38
950,9,50,34,70,35
951,9,51,32,69,33
952,9,52,32,70,30
953,9,53,25,74,30
954,9,54,25,71,35
955,9,55,27,72,38
956,9,56,31,68,35
957,9,57,31,69,31
958,9,58,31,71,34
959,9,59,29,73,31
960,9,60,34,67,30
961,9,61,37,69,35
962,9,62,33,73,35
