R,G,B,Drought_AmbientTemp,Drought_ObjectTemp,Delta_T,CWSI
58,113,69,26.71,25.41,-1.3000000000000007,1.0
54,112,64,26.71,25.37,-1.34,0.986
51,110,65,26.71,25.41,-1.3000000000000007,1.0
50,109,64,26.71,25.37,-1.34,0.986
49,107,67,26.71,25.41,-1.3000000000000007,1.0
51,107,65,26.71,25.37,-1.34,0.986
51,105,62,26.71,25.41,-1.3000000000000007,1.0
50,105,59,26.71,25.37,-1.34,0.986
47,105,62,26.71,25.41,-1.3000000000000007,1.0
43,106,61,26.71,25.37,-1.34,0.986
40,107,61,26.71,25.41,-1.3000000000000007,1.0
41,105,63,26.71,25.37,-1.34,0.986
39,102,63,26.71,25.41,-1.3000000000000007,1.0
38,103,65,26.71,25.37,-1.34,0.986
41,103,65,26.71,25.41,-1.3000000000000007,1.0
42,104,62,26.71,25.37,-1.34,0.986
42,102,62,26.71,25.41,-1.3000000000000007,1.0
43,103,63,26.71,25.37,-1.34,0.986
44,102,63,26.71,25.41,-1.3000000000000007,1.0
47,103,65,26.71,25.37,-1.34,0.986
48,103,60,26.71,25.41,-1.3000000000000007,1.0
51,103,60,26.71,25.37,-1.34,0.986
49,104,60,26.71,25.41,-1.3000000000000007,1.0
47,103,66,26.71,25.37,-1.34,0.986
49,102,65,26.71,25.41,-1.3000000000000007,1.0
51,100,67,26.71,25.37,-1.34,0.986
46,103,66,26.71,25.41,-1.3000000000000007,1.0
45,105,62,26.71,25.37,-1.34,0.986
46,102,60,26.71,25.41,-1.3000000000000007,1.0
43,102,62,26.71,25.37,-1.34,0.986
40,105,62,26.71,25.41,-1.3000000000000007,1.0
39,105,63,26.71,25.37,-1.34,0.986
43,104,59,26.71,25.41,-1.3000000000000007,1.0
43,103,58,26.71,25.37,-1.34,0.986
45,103,58,26.71,25.41,-1.3000000000000007,1.0
42,103,59,26.71,25.37,-1.34,0.986
39,103,63,26.71,25.41,-1.3000000000000007,1.0
39,102,61,26.71,25.37,-1.34,0.986
40,102,59,26.71,25.41,-1.3000000000000007,1.0
35,104,60,26.71,25.37,-1.34,0.986
34,103,62,26.71,25.41,-1.3000000000000007,1.0
36,102,61,26.71,25.37,-1.34,0.986
35,102,63,26.71,25.41,-1.3000000000000007,1.0
38,101,60,26.71,25.37,-1.34,0.986
35,102,58,26.71,25.41,-1.3000000000000007,1.0
30,104,64,26.71,25.37,-1.34,0.986
33,106,65,26.71,25.41,-1.3000000000000007,1.0
38,106,68,26.71,25.37,-1.34,0.986
38,108,72,26.71,25.41,-1.3000000000000007,1.0
36,112,72,26.71,25.37,-1.34,0.986
36,115,73,26.71,25.41,-1.3000000000000007,1.0
36,119,75,26.71,25.37,-1.34,0.986
34,121,75,26.71,25.41,-1.3000000000000007,1.0
36,123,75,26.71,25.37,-1.34,0.986
35,122,78,26.71,25.41,-1.3000000000000007,1.0
39,120,82,26.71,25.37,-1.34,0.986
29,124,86,26.71,25.41,-1.3000000000000007,1.0
26,124,83,26.71,25.37,-1.34,0.986
31,121,81,26.71,25.41,-1.3000000000000007,1.0
30,119,83,26.71,25.37,-1.34,0.986
31,115,78,26.71,25.41,-1.3000000000000007,1.0
35,112,75,26.71,25.37,-1.34,0.986
39,110,72,26.71,25.41,-1.3000000000000007,1.0
35,111,70,26.71,25.37,-1.34,0.986
33,109,70,26.71,25.41,-1.3000000000000007,1.0
29,109,67,26.71,25.37,-1.34,0.986
25,109,63,26.71,25.41,-1.3000000000000007,1.0
25,107,62,26.71,25.37,-1.34,0.986
23,105,68,26.71,25.41,-1.3000000000000007,1.0
23,103,67,26.71,25.37,-1.34,0.986
19,104,59,26.71,25.41,-1.3000000000000007,1.0
21,102,59,26.71,25.37,-1.34,0.986
25,100,60,26.71,25.41,-1.3000000000000007,1.0
22,100,59,26.71,25.37,-1.34,0.986
13,104,58,26.71,25.41,-1.3000000000000007,1.0
14,102,57,26.71,25.37,-1.34,0.986
18,99,59,26.71,25.41,-1.3000000000000007,1.0
87,129,77,26.71,25.37,-1.34,0.986
90,130,82,26.71,25.41,-1.3000000000000007,1.0
92,132,86,26.71,25.37,-1.34,0.986
95,132,85,26.71,25.41,-1.3000000000000007,1.0
96,134,86,26.71,25.37,-1.34,0.986
96,135,83,26.71,25.41,-1.3000000000000007,1.0
94,136,83,26.71,25.37,-1.34,0.986
95,134,86,26.71,25.41,-1.3000000000000007,1.0
94,127,87,26.71,25.37,-1.34,0.986
91,128,86,26.71,25.41,-1.3000000000000007,1.0
86,128,86,26.71,25.37,-1.34,0.986
81,127,85,26.71,25.41,-1.3000000000000007,1.0
80,124,81,26.71,25.37,-1.34,0.986
78,121,79,26.71,25.41,-1.3000000000000007,1.0
69,120,80,26.71,25.37,-1.34,0.986
69,117,78,26.71,25.41,-1.3000000000000007,1.0
70,115,71,26.71,25.37,-1.34,0.986
69,114,66,26.71,25.41,-1.3000000000000007,1.0
64,114,71,26.71,25.37,-1.34,0.986
59,113,68,26.71,25.41,-1.3000000000000007,1.0
58,114,68,26.71,25.37,-1.34,0.986
59,111,68,26.71,25.41,-1.3000000000000007,1.0
55,112,71,26.71,25.37,-1.34,0.986
51,112,71,26.71,25.41,-1.3000000000000007,1.0
48,112,71,26.71,25.37,-1.34,0.986
50,110,68,26.71,25.41,-1.3000000000000007,1.0
50,107,68,26.71,25.37,-1.34,0.986
49,106,66,26.71,25.41,-1.3000000000000007,1.0
53,105,63,26.71,25.37,-1.34,0.986
54,106,60,26.71,25.41,-1.3000000000000007,1.0
49,108,61,26.71,25.37,-1.34,0.986
49,107,59,26.71,25.41,-1.3000000000000007,1.0
47,106,61,26.71,25.37,-1.34,0.986
45,106,60,26.71,25.41,-1.3000000000000007,1.0
41,105,61,26.71,25.37,-1.34,0.986
38,108,62,26.71,25.41,-1.3000000000000007,1.0
36,106,63,26.71,25.37,-1.34,0.986
39,106,64,26.71,25.41,-1.3000000000000007,1.0
42,105,63,26.71,25.37,-1.34,0.986
43,104,64,26.71,25.41,-1.3000000000000007,1.0
43,104,69,26.71,25.37,-1.34,0.986
47,105,64,26.71,25.41,-1.3000000000000007,1.0
52,103,62,26.71,25.37,-1.34,0.986
