R,G,B,Drought_AmbientTemp,Drought_ObjectTemp,Delta_T,CWSI
57,122,80,26.71,25.41,-1.3000000000000007,1.0
57,119,81,26.71,25.37,-1.34,0.986
58,117,82,26.71,25.41,-1.3000000000000007,1.0
55,118,81,26.71,25.37,-1.34,0.986
53,120,81,26.71,25.41,-1.3000000000000007,1.0
54,119,79,26.71,25.37,-1.34,0.986
58,118,77,26.71,25.41,-1.3000000000000007,1.0
60,117,75,26.71,25.37,-1.34,0.986
61,119,74,26.71,25.41,-1.3000000000000007,1.0
60,120,76,26.71,25.37,-1.34,0.986
59,117,81,26.71,25.41,-1.3000000000000007,1.0
61,118,80,26.71,25.37,-1.34,0.986
60,118,77,26.71,25.41,-1.3000000000000007,1.0
56,116,78,26.71,25.37,-1.34,0.986
58,114,76,26.71,25.41,-1.3000000000000007,1.0
51,117,74,26.71,25.37,-1.34,0.986
51,116,75,26.71,25.41,-1.3000000000000007,1.0
91,125,84,26.71,25.37,-1.34,0.986
92,126,84,26.71,25.41,-1.3000000000000007,1.0
94,125,84,26.71,25.37,-1.34,0.986
94,126,86,26.71,25.41,-1.3000000000000007,1.0
94,128,88,26.71,25.37,-1.34,0.986
95,128,88,26.71,25.41,-1.3000000000000007,1.0
94,126,87,26.71,25.37,-1.34,0.986
93,125,91,26.71,25.41,-1.3000000000000007,1.0
91,124,93,26.71,25.37,-1.34,0.986
85,123,88,26.71,25.41,-1.3000000000000007,1.0
81,124,83,26.71,25.37,-1.34,0.986
79,123,78,26.71,25.41,-1.3000000000000007,1.0
78,122,80,26.71,25.37,-1.34,0.986
79,118,79,26.71,25.41,-1.3000000000000007,1.0
75,119,79,26.71,25.37,-1.34,0.986
75,118,79,26.71,25.41,-1.3000000000000007,1.0
76,117,79,26.71,25.37,-1.34,0.986
80,117,82,26.71,25.41,-1.3000000000000007,1.0
81,117,85,26.71,25.37,-1.34,0.986
81,120,88,26.71,25.41,-1.3000000000000007,1.0
81,118,86,26.71,25.37,-1.34,0.986
83,124,85,26.71,25.41,-1.3000000000000007,1.0
84,125,86,26.71,25.37,-1.34,0.986
83,124,87,26.71,25.41,-1.3000000000000007,1.0
81,123,86,26.71,25.37,-1.34,0.986
78,124,82,26.71,25.41,-1.3000000000000007,1.0
76,124,81,26.71,25.37,-1.34,0.986
71,120,80,26.71,25.41,-1.3000000000000007,1.0
71,118,80,26.71,25.37,-1.34,0.986
69,115,79,26.71,25.41,-1.3000000000000007,1.0
66,115,74,26.71,25.37,-1.34,0.986
64,113,76,26.71,25.41,-1.3000000000000007,1.0
64,110,78,26.71,25.37,-1.34,0.986
61,111,75,26.71,25.41,-1.3000000000000007,1.0
60,112,73,26.71,25.37,-1.34,0.986
59,115,73,26.71,25.41,-1.3000000000000007,1.0
58,114,68,26.71,25.37,-1.34,0.986
56,113,70,26.71,25.41,-1.3000000000000007,1.0
61,111,69,26.71,25.37,-1.34,0.986
63,112,66,26.71,25.41,-1.3000000000000007,1.0
64,111,68,26.71,25.37,-1.34,0.986
66,108,75,26.71,25.41,-1.3000000000000007,1.0
66,108,74,26.71,25.37,-1.34,0.986
65,108,72,26.71,25.41,-1.3000000000000007,1.0
64,108,71,26.71,25.37,-1.34,0.986
62,111,67,26.71,25.41,-1.3000000000000007,1.0
63,109,66,26.71,25.37,-1.34,0.986
63,108,68,26.71,25.41,-1.3000000000000007,1.0
62,106,66,26.71,25.37,-1.34,0.986
60,105,67,26.71,25.41,-1.3000000000000007,1.0
54,107,67,26.71,25.37,-1.34,0.986
51,106,67,26.71,25.41,-1.3000000000000007,1.0
49,104,67,26.71,25.37,-1.34,0.986
49,103,65,26.71,25.41,-1.3000000000000007,1.0
43,101,64,26.71,25.37,-1.34,0.986
39,102,61,26.71,25.41,-1.3000000000000007,1.0
35,100,59,26.71,25.37,-1.34,0.986
32,95,60,26.71,25.41,-1.3000000000000007,1.0
34,92,56,26.71,25.37,-1.34,0.986
31,96,55,26.71,25.41,-1.3000000000000007,1.0
31,97,60,26.71,25.37,-1.34,0.986
33,101,65,26.71,25.41,-1.3000000000000007,1.0
35,102,63,26.71,25.37,-1.34,0.986
35,105,65,26.71,25.41,-1.3000000000000007,1.0
31,107,67,26.71,25.37,-1.34,0.986
30,113,69,26.71,25.41,-1.3000000000000007,1.0
35,117,72,26.71,25.37,-1.34,0.986
41,121,72,26.71,25.41,-1.3000000000000007,1.0
42,121,80,26.71,25.37,-1.34,0.986
46,123,86,26.71,25.41,-1.3000000000000007,1.0
53,123,81,26.71,25.37,-1.34,0.986
58,123,78,26.71,25.41,-1.3000000000000007,1.0
62,124,74,26.71,25.37,-1.34,0.986
63,121,77,26.71,25.41,-1.3000000000000007,1.0
61,122,78,26.71,25.37,-1.34,0.986
61,125,80,26.71,25.41,-1.3000000000000007,1.0
65,124,82,26.71,25.37,-1.34,0.986
65,124,85,26.71,25.41,-1.3000000000000007,1.0
63,123,87,26.71,25.37,-1.34,0.986
61,120,83,26.71,25.41,-1.3000000000000007,1.0
60,122,82,26.71,25.37,-1.34,0.986
58,122,83,26.71,25.41,-1.3000000000000007,1.0
60,121,80,26.71,25.37,-1.34,0.986
58,120,81,26.71,25.41,-1.3000000000000007,1.0
60,119,79,26.71,25.37,-1.34,0.986
59,118,80,26.71,25.41,-1.3000000000000007,1.0
55,119,79,26.71,25.37,-1.34,0.986
52,118,80,26.71,25.41,-1.3000000000000007,1.0
56,117,80,26.71,25.37,-1.34,0.986
59,118,71,26.71,25.41,-1.3000000000000007,1.0
61,119,76,26.71,25.37,-1.34,0.986
57,120,77,26.71,25.41,-1.3000000000000007,1.0
56,119,83,26.71,25.37,-1.34,0.986
59,120,80,26.71,25.41,-1.3000000000000007,1.0
65,119,78,26.71,25.37,-1.34,0.986
62,119,77,26.71,25.41,-1.3000000000000007,1.0
57,117,80,26.71,25.37,-1.34,0.986
61,115,74,26.71,25.41,-1.3000000000000007,1.0
56,117,75,26.71,25.37,-1.34,0.986
54,115,78,26.71,25.41,-1.3000000000000007,1.0
92,126,89,26.71,25.37,-1.34,0.986
93,125,90,26.71,25.41,-1.3000000000000007,1.0
95,127,87,26.71,25.37,-1.34,0.986
96,129,88,26.71,25.41,-1.3000000000000007,1.0
95,130,90,26.71,25.37,-1.34,0.986
97,130,89,26.71,25.41,-1.3000000000000007,1.0
96,129,88,26.71,25.37,-1.34,0.986
94,128,91,26.71,25.41,-1.3000000000000007,1.0
92,123,92,26.71,25.37,-1.34,0.986
88,125,89,26.71,25.41,-1.3000000000000007,1.0
84,126,82,26.71,25.37,-1.34,0.986
82,123,83,26.71,25.41,-1.3000000000000007,1.0
81,119,82,26.71,25.37,-1.34,0.986
79,118,82,26.71,25.41,-1.3000000000000007,1.0
76,119,80,26.71,25.37,-1.34,0.986
73,119,81,26.71,25.41,-1.3000000000000007,1.0
76,118,83,26.71,25.37,-1.34,0.986
80,118,83,26.71,25.41,-1.3000000000000007,1.0
81,120,84,26.71,25.37,-1.34,0.986
80,121,86,26.71,25.41,-1.3000000000000007,1.0
81,123,89,26.71,25.37,-1.34,0.986
83,122,87,26.71,25.41,-1.3000000000000007,1.0
82,125,85,26.71,25.37,-1.34,0.986
81,125,83,26.71,25.41,-1.3000000000000007,1.0
79,124,83,26.71,25.37,-1.34,0.986
81,124,81,26.71,25.41,-1.3000000000000007,1.0
77,123,80,26.71,25.37,-1.34,0.986
73,121,80,26.71,25.41,-1.3000000000000007,1.0
71,117,80,26.71,25.37,-1.34,0.986
70,114,80,26.71,25.41,-1.3000000000000007,1.0
68,113,79,26.71,25.37,-1.34,0.986
66,110,78,26.71,25.41,-1.3000000000000007,1.0
61,111,79,26.71,25.37,-1.34,0.986
62,109,74,26.71,25.41,-1.3000000000000007,1.0
59,113,73,26.71,25.37,-1.34,0.986
57,114,73,26.71,25.41,-1.3000000000000007,1.0
57,114,68,26.71,25.37,-1.34,0.986
58,111,68,26.71,25.41,-1.3000000000000007,1.0
62,110,67,26.71,25.37,-1.34,0.986
62,110,64,26.71,25.41,-1.3000000000000007,1.0
61,108,69,26.71,25.37,-1.34,0.986
64,107,73,26.71,25.41,-1.3000000000000007,1.0
64,109,71,26.71,25.37,-1.34,0.986
62,109,69,26.71,25.41,-1.3000000000000007,1.0
61,109,70,26.71,25.37,-1.34,0.986
61,109,69,26.71,25.41,-1.3000000000000007,1.0
60,108,68,26.71,25.37,-1.34,0.986
59,106,70,26.71,25.41,-1.3000000000000007,1.0
60,104,70,26.71,25.37,-1.34,0.986
56,105,67,26.71,25.41,-1.3000000000000007,1.0
51,106,66,26.71,25.37,-1.34,0.986
51,104,66,26.71,25.41,-1.3000000000000007,1.0
50,105,65,26.71,25.37,-1.34,0.986
45,102,66,26.71,25.41,-1.3000000000000007,1.0
40,98,64,26.71,25.37,-1.34,0.986
34,100,57,26.71,25.41,-1.3000000000000007,1.0
35,97,56,26.71,25.37,-1.34,0.986
31,96,54,26.71,25.41,-1.3000000000000007,1.0
30,95,55,26.71,25.37,-1.34,0.986
25,96,59,26.71,25.41,-1.3000000000000007,1.0
30,97,63,26.71,25.37,-1.34,0.986
33,100,62,26.71,25.41,-1.3000000000000007,1.0
34,104,61,26.71,25.37,-1.34,0.986
33,106,65,26.71,25.41,-1.3000000000000007,1.0
29,111,65,26.71,25.37,-1.34,0.986
33,117,68,26.71,25.41,-1.3000000000000007,1.0
32,119,72,26.71,25.37,-1.34,0.986
40,121,71,26.71,25.41,-1.3000000000000007,1.0
44,124,76,26.71,25.37,-1.34,0.986
45,124,82,26.71,25.41,-1.3000000000000007,1.0
53,124,81,26.71,25.37,-1.34,0.986
58,125,78,26.71,25.41,-1.3000000000000007,1.0
62,123,74,26.71,25.37,-1.34,0.986
64,121,75,26.71,25.41,-1.3000000000000007,1.0
61,124,76,26.71,25.37,-1.34,0.986
60,125,82,26.71,25.41,-1.3000000000000007,1.0
62,124,82,26.71,25.37,-1.34,0.986
63,125,83,26.71,25.41,-1.3000000000000007,1.0
64,123,83,26.71,25.37,-1.34,0.986
65,120,84,26.71,25.41,-1.3000000000000007,1.0
61,122,83,26.71,25.37,-1.34,0.986
59,122,84,26.71,25.41,-1.3000000000000007,1.0
56,121,82,26.71,25.37,-1.34,0.986
59,120,81,26.71,25.41,-1.3000000000000007,1.0
61,119,81,26.71,25.37,-1.34,0.986
60,121,78,26.71,25.41,-1.3000000000000007,1.0
57,119,77,26.71,25.37,-1.34,0.986
57,118,77,26.71,25.41,-1.3000000000000007,1.0
58,115,78,26.71,25.37,-1.34,0.986
59,116,78,26.71,25.41,-1.3000000000000007,1.0
58,117,76,26.71,25.37,-1.34,0.986
58,119,76,26.71,25.41,-1.3000000000000007,1.0
61,119,79,26.71,25.37,-1.34,0.986
64,119,78,26.71,25.41,-1.3000000000000007,1.0
65,117,79,26.71,25.37,-1.34,0.986
65,116,80,26.71,25.41,-1.3000000000000007,1.0
62,116,82,26.71,25.37,-1.34,0.986
61,118,81,26.71,25.41,-1.3000000000000007,1.0
63,116,78,26.71,25.37,-1.34,0.986
60,115,79,26.71,25.41,-1.3000000000000007,1.0
93,126,90,26.71,25.37,-1.34,0.986
96,126,93,26.71,25.41,-1.3000000000000007,1.0
95,129,91,26.71,25.37,-1.34,0.986
99,131,88,26.71,25.41,-1.3000000000000007,1.0
100,129,89,26.71,25.37,-1.34,0.986
98,132,93,26.71,25.41,-1.3000000000000007,1.0
97,131,89,26.71,25.37,-1.34,0.986
94,130,89,26.71,25.41,-1.3000000000000007,1.0
89,127,95,26.71,25.37,-1.34,0.986
88,126,91,26.71,25.41,-1.3000000000000007,1.0
83,126,85,26.71,25.37,-1.34,0.986
82,124,83,26.71,25.41,-1.3000000000000007,1.0
82,121,84,26.71,25.37,-1.34,0.986
77,120,86,26.71,25.41,-1.3000000000000007,1.0
75,119,82,26.71,25.37,-1.34,0.986
76,121,82,26.71,25.41,-1.3000000000000007,1.0
78,117,85,26.71,25.37,-1.34,0.986
81,117,83,26.71,25.41,-1.3000000000000007,1.0
82,121,80,26.71,25.37,-1.34,0.986
81,122,83,26.71,25.41,-1.3000000000000007,1.0
81,123,88,26.71,25.37,-1.34,0.986
82,122,89,26.71,25.41,-1.3000000000000007,1.0
81,123,90,26.71,25.37,-1.34,0.986
82,124,82,26.71,25.41,-1.3000000000000007,1.0
82,122,79,26.71,25.37,-1.34,0.986
80,122,80,26.71,25.41,-1.3000000000000007,1.0
78,122,81,26.71,25.37,-1.34,0.986
75,120,82,26.71,25.41,-1.3000000000000007,1.0
72,115,84,26.71,25.37,-1.34,0.986
69,114,85,26.71,25.41,-1.3000000000000007,1.0
65,114,81,26.71,25.37,-1.34,0.986
63,114,80,26.71,25.41,-1.3000000000000007,1.0
59,112,78,26.71,25.37,-1.34,0.986
59,112,76,26.71,25.41,-1.3000000000000007,1.0
58,112,75,26.71,25.37,-1.34,0.986
60,111,69,26.71,25.41,-1.3000000000000007,1.0
57,111,69,26.71,25.37,-1.34,0.986
57,109,67,26.71,25.41,-1.3000000000000007,1.0
59,109,67,26.71,25.37,-1.34,0.986
56,108,67,26.71,25.41,-1.3000000000000007,1.0
57,106,69,26.71,25.37,-1.34,0.986
59,107,70,26.71,25.41,-1.3000000000000007,1.0
61,108,67,26.71,25.37,-1.34,0.986
58,109,65,26.71,25.41,-1.3000000000000007,1.0
58,110,66,26.71,25.37,-1.34,0.986
57,108,67,26.71,25.41,-1.3000000000000007,1.0
60,105,66,26.71,25.37,-1.34,0.986
60,104,69,26.71,25.41,-1.3000000000000007,1.0
59,103,70,26.71,25.37,-1.34,0.986
53,105,68,26.71,25.41,-1.3000000000000007,1.0
50,104,66,26.71,25.37,-1.34,0.986
54,102,64,26.71,25.41,-1.3000000000000007,1.0
49,102,62,26.71,25.37,-1.34,0.986
43,103,63,26.71,25.41,-1.3000000000000007,1.0
39,100,63,26.71,25.37,-1.34,0.986
35,97,56,26.71,25.41,-1.3000000000000007,1.0
32,95,55,26.71,25.37,-1.34,0.986
27,98,52,26.71,25.41,-1.3000000000000007,1.0
24,96,58,26.71,25.37,-1.34,0.986
25,97,62,26.71,25.41,-1.3000000000000007,1.0
28,97,66,26.71,25.37,-1.34,0.986
26,103,70,26.71,25.41,-1.3000000000000007,1.0
30,106,62,26.71,25.37,-1.34,0.986
32,108,66,26.71,25.41,-1.3000000000000007,1.0
32,113,67,26.71,25.37,-1.34,0.986
34,116,67,26.71,25.41,-1.3000000000000007,1.0
37,120,72,26.71,25.37,-1.34,0.986
42,122,77,26.71,25.41,-1.3000000000000007,1.0
43,124,77,26.71,25.37,-1.34,0.986
49,124,79,26.71,25.41,-1.3000000000000007,1.0
55,123,80,26.71,25.37,-1.34,0.986
58,122,82,26.71,25.41,-1.3000000000000007,1.0
62,121,80,26.71,25.37,-1.34,0.986
64,122,76,26.71,25.41,-1.3000000000000007,1.0
59,125,72,26.71,25.37,-1.34,0.986
62,123,80,26.71,25.41,-1.3000000000000007,1.0
61,123,84,26.71,25.37,-1.34,0.986
61,126,79,26.71,25.41,-1.3000000000000007,1.0
64,124,82,26.71,25.37,-1.34,0.986
66,120,86,26.71,25.41,-1.3000000000000007,1.0
64,119,86,26.71,25.37,-1.34,0.986
59,122,84,26.71,25.41,-1.3000000000000007,1.0
58,122,83,26.71,25.37,-1.34,0.986
61,120,80,26.71,25.41,-1.3000000000000007,1.0
60,120,80,26.71,25.37,-1.34,0.986
61,119,78,26.71,25.41,-1.3000000000000007,1.0
61,120,74,26.71,25.37,-1.34,0.986
60,118,74,26.71,25.41,-1.3000000000000007,1.0
59,116,78,26.71,25.37,-1.34,0.986
57,116,80,26.71,25.41,-1.3000000000000007,1.0
60,117,74,26.71,25.37,-1.34,0.986
60,117,75,26.71,25.41,-1.3000000000000007,1.0
62,118,76,26.71,25.37,-1.34,0.986
65,119,79,26.71,25.41,-1.3000000000000007,1.0
64,118,78,26.71,25.37,-1.34,0.986
64,118,80,26.71,25.41,-1.3000000000000007,1.0
64,119,82,26.71,25.37,-1.34,0.986
65,117,82,26.71,25.41,-1.3000000000000007,1.0
64,116,81,26.71,25.37,-1.34,0.986
63,115,81,26.71,25.41,-1.3000000000000007,1.0
97,127,89,26.71,25.37,-1.34,0.986
97,127,90,26.71,25.41,-1.3000000000000007,1.0
97,130,90,26.71,25.37,-1.34,0.986
98,132,90,26.71,25.41,-1.3000000000000007,1.0
98,132,91,26.71,25.37,-1.34,0.986
99,131,91,26.71,25.41,-1.3000000000000007,1.0
97,130,92,26.71,25.37,-1.34,0.986
93,129,94,26.71,25.41,-1.3000000000000007,1.0
89,126,100,26.71,25.37,-1.34,0.986
87,126,90,26.71,25.41,-1.3000000000000007,1.0
82,127,86,26.71,25.37,-1.34,0.986
81,124,85,26.71,25.41,-1.3000000000000007,1.0
81,121,83,26.71,25.37,-1.34,0.986
80,121,84,26.71,25.41,-1.3000000000000007,1.0
76,121,80,26.71,25.37,-1.34,0.986
75,120,81,26.71,25.41,-1.3000000000000007,1.0
77,119,84,26.71,25.37,-1.34,0.986
80,117,84,26.71,25.41,-1.3000000000000007,1.0
78,119,83,26.71,25.37,-1.34,0.986
78,122,85,26.71,25.41,-1.3000000000000007,1.0
80,122,87,26.71,25.37,-1.34,0.986
80,122,88,26.71,25.41,-1.3000000000000007,1.0
80,122,86,26.71,25.37,-1.34,0.986
81,122,84,26.71,25.41,-1.3000000000000007,1.0
83,123,79,26.71,25.37,-1.34,0.986
81,122,80,26.71,25.41,-1.3000000000000007,1.0
78,121,80,26.71,25.37,-1.34,0.986
76,118,84,26.71,25.41,-1.3000000000000007,1.0
73,114,86,26.71,25.37,-1.34,0.986
68,114,82,26.71,25.41,-1.3000000000000007,1.0
64,115,78,26.71,25.37,-1.34,0.986
60,115,75,26.71,25.41,-1.3000000000000007,1.0
61,111,74,26.71,25.37,-1.34,0.986
61,110,74,26.71,25.41,-1.3000000000000007,1.0
63,109,72,26.71,25.37,-1.34,0.986
60,110,70,26.71,25.41,-1.3000000000000007,1.0
57,108,68,26.71,25.37,-1.34,0.986
59,108,68,26.71,25.41,-1.3000000000000007,1.0
57,108,69,26.71,25.37,-1.34,0.986
55,108,69,26.71,25.41,-1.3000000000000007,1.0
54,108,69,26.71,25.37,-1.34,0.986
56,107,68,26.71,25.41,-1.3000000000000007,1.0
57,107,68,26.71,25.37,-1.34,0.986
55,108,66,26.71,25.41,-1.3000000000000007,1.0
54,110,64,26.71,25.37,-1.34,0.986
52,109,65,26.71,25.41,-1.3000000000000007,1.0
56,107,65,26.71,25.37,-1.34,0.986
58,103,67,26.71,25.41,-1.3000000000000007,1.0
56,100,70,26.71,25.37,-1.34,0.986
52,101,66,26.71,25.41,-1.3000000000000007,1.0
52,101,64,26.71,25.37,-1.34,0.986
47,102,64,26.71,25.41,-1.3000000000000007,1.0
42,103,65,26.71,25.37,-1.34,0.986
43,100,64,26.71,25.41,-1.3000000000000007,1.0
42,97,60,26.71,25.37,-1.34,0.986
36,96,58,26.71,25.41,-1.3000000000000007,1.0
33,93,58,26.71,25.37,-1.34,0.986
29,97,55,26.71,25.41,-1.3000000000000007,1.0
24,99,56,26.71,25.37,-1.34,0.986
29,99,58,26.71,25.41,-1.3000000000000007,1.0
29,100,65,26.71,25.37,-1.34,0.986
26,104,63,26.71,25.41,-1.3000000000000007,1.0
31,105,63,26.71,25.37,-1.34,0.986
35,107,66,26.71,25.41,-1.3000000000000007,1.0
37,112,66,26.71,25.37,-1.34,0.986
40,114,69,26.71,25.41,-1.3000000000000007,1.0
44,118,75,26.71,25.37,-1.34,0.986
43,121,78,26.71,25.41,-1.3000000000000007,1.0
45,122,80,26.71,25.37,-1.34,0.986
52,125,78,26.71,25.41,-1.3000000000000007,1.0
57,124,77,26.71,25.37,-1.34,0.986
59,121,82,26.71,25.41,-1.3000000000000007,1.0
61,120,84,26.71,25.37,-1.34,0.986
59,122,81,26.71,25.41,-1.3000000000000007,1.0
57,125,76,26.71,25.37,-1.34,0.986
62,122,79,26.71,25.41,-1.3000000000000007,1.0
62,123,81,26.71,25.37,-1.34,0.986
62,123,80,26.71,25.41,-1.3000000000000007,1.0
64,123,83,26.71,25.37,-1.34,0.986
66,119,84,26.71,25.41,-1.3000000000000007,1.0
65,120,85,26.71,25.37,-1.34,0.986
62,119,84,26.71,25.41,-1.3000000000000007,1.0
59,120,83,26.71,25.37,-1.34,0.986
59,122,80,26.71,25.41,-1.3000000000000007,1.0
61,120,79,26.71,25.37,-1.34,0.986
60,119,81,26.71,25.41,-1.3000000000000007,1.0
59,119,79,26.71,25.37,-1.34,0.986
58,119,79,26.71,25.41,-1.3000000000000007,1.0
60,116,78,26.71,25.37,-1.34,0.986
59,115,81,26.71,25.41,-1.3000000000000007,1.0
59,115,79,26.71,25.37,-1.34,0.986
56,117,82,26.71,25.41,-1.3000000000000007,1.0
58,120,79,26.71,25.37,-1.34,0.986
61,121,78,26.71,25.41,-1.3000000000000007,1.0
64,120,75,26.71,25.37,-1.34,0.986
64,119,79,26.71,25.41,-1.3000000000000007,1.0
65,120,81,26.71,25.37,-1.34,0.986
66,119,80,26.71,25.41,-1.3000000000000007,1.0
65,118,82,26.71,25.37,-1.34,0.986
63,119,80,26.71,25.41,-1.3000000000000007,1.0
98,128,91,26.71,25.37,-1.34,0.986
99,130,88,26.71,25.41,-1.3000000000000007,1.0
98,130,90,26.71,25.37,-1.34,0.986
98,132,87,26.71,25.41,-1.3000000000000007,1.0
96,134,89,26.71,25.37,-1.34,0.986
98,135,91,26.71,25.41,-1.3000000000000007,1.0
98,129,91,26.71,25.37,-1.34,0.986
95,129,89,26.71,25.41,-1.3000000000000007,1.0
88,129,87,26.71,25.37,-1.34,0.986
85,128,84,26.71,25.41,-1.3000000000000007,1.0
82,128,85,26.71,25.37,-1.34,0.986
82,124,84,26.71,25.41,-1.3000000000000007,1.0
83,122,79,26.71,25.37,-1.34,0.986
81,120,78,26.71,25.41,-1.3000000000000007,1.0
76,122,79,26.71,25.37,-1.34,0.986
77,121,78,26.71,25.41,-1.3000000000000007,1.0
79,117,81,26.71,25.37,-1.34,0.986
77,117,83,26.71,25.41,-1.3000000000000007,1.0
78,118,87,26.71,25.37,-1.34,0.986
78,121,87,26.71,25.41,-1.3000000000000007,1.0
76,124,89,26.71,25.37,-1.34,0.986
76,124,89,26.71,25.41,-1.3000000000000007,1.0
78,123,85,26.71,25.37,-1.34,0.986
83,123,83,26.71,25.41,-1.3000000000000007,1.0
83,122,81,26.71,25.37,-1.34,0.986
81,123,80,26.71,25.41,-1.3000000000000007,1.0
78,122,80,26.71,25.37,-1.34,0.986
74,118,84,26.71,25.41,-1.3000000000000007,1.0
70,118,82,26.71,25.37,-1.34,0.986
66,114,80,26.71,25.41,-1.3000000000000007,1.0
62,114,77,26.71,25.37,-1.34,0.986
56,115,74,26.71,25.41,-1.3000000000000007,1.0
57,114,70,26.71,25.37,-1.34,0.986
60,109,72,26.71,25.41,-1.3000000000000007,1.0
60,108,73,26.71,25.37,-1.34,0.986
60,107,70,26.71,25.41,-1.3000000000000007,1.0
56,107,68,26.71,25.37,-1.34,0.986
53,107,72,26.71,25.41,-1.3000000000000007,1.0
54,106,71,26.71,25.37,-1.34,0.986
53,108,69,26.71,25.41,-1.3000000000000007,1.0
53,109,66,26.71,25.37,-1.34,0.986
53,106,68,26.71,25.41,-1.3000000000000007,1.0
53,107,65,26.71,25.37,-1.34,0.986
51,108,65,26.71,25.41,-1.3000000000000007,1.0
50,108,65,26.71,25.37,-1.34,0.986
50,108,66,26.71,25.41,-1.3000000000000007,1.0
51,106,62,26.71,25.37,-1.34,0.986
53,103,62,26.71,25.41,-1.3000000000000007,1.0
54,101,66,26.71,25.37,-1.34,0.986
49,102,64,26.71,25.41,-1.3000000000000007,1.0
49,99,61,26.71,25.37,-1.34,0.986
47,98,61,26.71,25.41,-1.3000000000000007,1.0
43,100,60,26.71,25.37,-1.34,0.986
39,100,63,26.71,25.41,-1.3000000000000007,1.0
39,96,57,26.71,25.37,-1.34,0.986
35,95,56,26.71,25.41,-1.3000000000000007,1.0
31,96,55,26.71,25.37,-1.34,0.986
26,96,57,26.71,25.41,-1.3000000000000007,1.0
25,101,54,26.71,25.37,-1.34,0.986
30,102,55,26.71,25.41,-1.3000000000000007,1.0
28,102,61,26.71,25.37,-1.34,0.986
31,104,62,26.71,25.41,-1.3000000000000007,1.0
34,104,64,26.71,25.37,-1.34,0.986
38,106,69,26.71,25.41,-1.3000000000000007,1.0
42,111,68,26.71,25.37,-1.34,0.986
44,114,72,26.71,25.41,-1.3000000000000007,1.0
47,116,75,26.71,25.37,-1.34,0.986
49,121,77,26.71,25.41,-1.3000000000000007,1.0
50,122,80,26.71,25.37,-1.34,0.986
55,123,78,26.71,25.41,-1.3000000000000007,1.0
55,124,78,26.71,25.37,-1.34,0.986
56,125,81,26.71,25.41,-1.3000000000000007,1.0
59,122,82,26.71,25.37,-1.34,0.986
61,120,80,26.71,25.41,-1.3000000000000007,1.0
63,120,80,26.71,25.37,-1.34,0.986
63,120,82,26.71,25.41,-1.3000000000000007,1.0
63,122,81,26.71,25.37,-1.34,0.986
63,123,79,26.71,25.41,-1.3000000000000007,1.0
63,123,84,26.71,25.37,-1.34,0.986
63,121,83,26.71,25.41,-1.3000000000000007,1.0
67,120,80,26.71,25.37,-1.34,0.986
63,120,83,26.71,25.41,-1.3000000000000007,1.0
58,121,84,26.71,25.37,-1.34,0.986
57,123,81,26.71,25.41,-1.3000000000000007,1.0
60,121,77,26.71,25.37,-1.34,0.986
61,119,80,26.71,25.41,-1.3000000000000007,1.0
58,120,80,26.71,25.37,-1.34,0.986
56,119,81,26.71,25.41,-1.3000000000000007,1.0
58,117,78,26.71,25.37,-1.34,0.986
61,115,79,26.71,25.41,-1.3000000000000007,1.0
59,115,83,26.71,25.37,-1.34,0.986
58,116,84,26.71,25.41,-1.3000000000000007,1.0
60,119,83,26.71,25.37,-1.34,0.986
59,122,75,26.71,25.41,-1.3000000000000007,1.0
63,120,77,26.71,25.37,-1.34,0.986
66,119,82,26.71,25.41,-1.3000000000000007,1.0
65,118,79,26.71,25.37,-1.34,0.986
64,122,81,26.71,25.41,-1.3000000000000007,1.0
62,120,83,26.71,25.37,-1.34,0.986
61,121,82,26.71,25.41,-1.3000000000000007,1.0
97,127,91,26.71,25.37,-1.34,0.986
98,128,89,26.71,25.41,-1.3000000000000007,1.0
99,129,90,26.71,25.37,-1.34,0.986
97,131,89,26.71,25.41,-1.3000000000000007,1.0
97,130,90,26.71,25.37,-1.34,0.986
98,128,89,26.71,25.41,-1.3000000000000007,1.0
97,128,94,26.71,25.37,-1.34,0.986
93,129,90,26.71,25.41,-1.3000000000000007,1.0
89,127,85,26.71,25.37,-1.34,0.986
87,127,83,26.71,25.41,-1.3000000000000007,1.0
87,125,81,26.71,25.37,-1.34,0.986
82,123,83,26.71,25.41,-1.3000000000000007,1.0
81,121,79,26.71,25.37,-1.34,0.986
79,121,78,26.71,25.41,-1.3000000000000007,1.0
74,122,82,26.71,25.37,-1.34,0.986
79,120,79,26.71,25.41,-1.3000000000000007,1.0
80,118,78,26.71,25.37,-1.34,0.986
78,120,83,26.71,25.41,-1.3000000000000007,1.0
78,117,85,26.71,25.37,-1.34,0.986
79,118,89,26.71,25.41,-1.3000000000000007,1.0
74,123,87,26.71,25.37,-1.34,0.986
73,125,85,26.71,25.41,-1.3000000000000007,1.0
81,122,84,26.71,25.37,-1.34,0.986
84,122,84,26.71,25.41,-1.3000000000000007,1.0
82,121,80,26.71,25.37,-1.34,0.986
81,118,80,26.71,25.41,-1.3000000000000007,1.0
76,117,82,26.71,25.37,-1.34,0.986
70,120,79,26.71,25.41,-1.3000000000000007,1.0
68,119,76,26.71,25.37,-1.34,0.986
67,114,75,26.71,25.41,-1.3000000000000007,1.0
