R,G,B,AmbientTemp,ObjectTemp,Delta_T,CWSI
41,110,60,27.47,29.59,-1.120000000000001,1.0
31,113,56,27.45,29.43,-0.9800000000000004,1.0
34,110,53,27.47,29.59,-1.120000000000001,1.0
37,107,52,27.45,29.43,-0.9800000000000004,1.0
35,109,53,27.47,29.59,-1.120000000000001,1.0
33,107,51,27.45,29.43,-0.9800000000000004,1.0
38,107,49,27.47,29.59,-1.120000000000001,1.0
42,104,55,27.45,29.43,-0.9800000000000004,1.0
44,104,55,27.47,29.59,-1.120000000000001,1.0
42,107,55,27.45,29.43,-0.9800000000000004,1.0
41,108,55,27.47,29.59,-1.120000000000001,1.0
39,112,52,27.45,29.43,-0.9800000000000004,1.0
39,113,57,27.47,29.59,-1.120000000000001,1.0
41,110,64,27.45,29.43,-0.9800000000000004,1.0
42,111,64,27.47,29.59,-1.120000000000001,1.0
43,111,61,27.45,29.43,-0.9800000000000004,1.0
42,111,62,27.47,29.59,-1.120000000000001,1.0
40,115,63,27.45,29.43,-0.9800000000000004,1.0
41,115,62,27.47,29.59,-1.120000000000001,1.0
44,113,67,27.45,29.43,-0.9800000000000004,1.0
43,113,61,27.47,29.59,-1.120000000000001,1.0
43,115,61,27.45,29.43,-0.9800000000000004,1.0
35,119,73,27.47,29.59,-1.120000000000001,1.0
35,117,71,27.45,29.43,-0.9800000000000004,1.0
40,116,75,27.47,29.59,-1.120000000000001,1.0
44,117,68,27.45,29.43,-0.9800000000000004,1.0
41,119,66,27.47,29.59,-1.120000000000001,1.0
40,119,64,27.45,29.43,-0.9800000000000004,1.0
39,121,66,27.47,29.59,-1.120000000000001,1.0
39,120,67,27.45,29.43,-0.9800000000000004,1.0
35,121,72,27.47,29.59,-1.120000000000001,1.0
37,126,69,27.45,29.43,-0.9800000000000004,1.0
42,124,67,27.47,29.59,-1.120000000000001,1.0
44,124,67,27.45,29.43,-0.9800000000000004,1.0
49,121,62,27.47,29.59,-1.120000000000001,1.0
41,126,66,27.45,29.43,-0.9800000000000004,1.0
42,125,73,27.47,29.59,-1.120000000000001,1.0
53,119,73,27.45,29.43,-0.9800000000000004,1.0
55,120,70,27.47,29.59,-1.120000000000001,1.0
58,123,68,27.45,29.43,-0.9800000000000004,1.0
56,124,73,27.47,29.59,-1.120000000000001,1.0
57,125,75,27.45,29.43,-0.9800000000000004,1.0
56,128,77,27.47,29.59,-1.120000000000001,1.0
55,128,75,27.45,29.43,-0.9800000000000004,1.0
53,129,70,27.47,29.59,-1.120000000000001,1.0
54,126,73,27.45,29.43,-0.9800000000000004,1.0
52,121,80,27.47,29.59,-1.120000000000001,1.0
53,117,81,27.45,29.43,-0.9800000000000004,1.0
53,115,77,27.47,29.59,-1.120000000000001,1.0
54,115,69,27.45,29.43,-0.9800000000000004,1.0
54,112,64,27.47,29.59,-1.120000000000001,1.0
51,112,61,27.45,29.43,-0.9800000000000004,1.0
48,112,60,27.47,29.59,-1.120000000000001,1.0
46,110,62,27.45,29.43,-0.9800000000000004,1.0
48,108,61,27.47,29.59,-1.120000000000001,1.0
49,106,61,27.45,29.43,-0.9800000000000004,1.0
45,106,58,27.47,29.59,-1.120000000000001,1.0
44,108,60,27.45,29.43,-0.9800000000000004,1.0
46,108,52,27.47,29.59,-1.120000000000001,1.0
47,110,48,27.45,29.43,-0.9800000000000004,1.0
47,111,49,27.47,29.59,-1.120000000000001,1.0
45,111,50,27.45,29.43,-0.9800000000000004,1.0
45,110,52,27.47,29.59,-1.120000000000001,1.0
46,108,55,27.45,29.43,-0.9800000000000004,1.0
46,106,55,27.47,29.59,-1.120000000000001,1.0
46,109,51,27.45,29.43,-0.9800000000000004,1.0
49,106,48,27.47,29.59,-1.120000000000001,1.0
52,106,50,27.45,29.43,-0.9800000000000004,1.0
51,106,52,27.47,29.59,-1.120000000000001,1.0
50,106,49,27.45,29.43,-0.9800000000000004,1.0
54,103,51,27.47,29.59,-1.120000000000001,1.0
53,102,51,27.45,29.43,-0.9800000000000004,1.0
57,106,43,27.47,29.59,-1.120000000000001,1.0
