R,G,B,Ambient_Temp,Object_Temp,Delta_T,CWSI
62,101,56,27.47,29.59,-1.120000000000001,1.0
55,103,59,27.45,29.43,-0.9800000000000004,1.0
53,104,61,27.47,29.59,-1.120000000000001,1.0
54,103,57,27.45,29.43,-0.9800000000000004,1.0
60,97,61,27.47,29.59,-1.120000000000001,1.0
58,95,65,27.45,29.43,-0.9800000000000004,1.0
58,94,64,27.47,29.59,-1.120000000000001,1.0
52,97,61,27.45,29.43,-0.9800000000000004,1.0
50,94,58,27.47,29.59,-1.120000000000001,1.0
54,92,53,27.45,29.43,-0.9800000000000004,1.0
51,94,52,27.47,29.59,-1.120000000000001,1.0
45,93,57,27.45,29.43,-0.9800000000000004,1.0
45,93,58,27.47,29.59,-1.120000000000001,1.0
48,93,47,27.45,29.43,-0.9800000000000004,1.0
49,92,46,27.47,29.59,-1.120000000000001,1.0
48,91,45,27.45,29.43,-0.9800000000000004,1.0
52,88,44,27.47,29.59,-1.120000000000001,1.0
50,86,50,27.45,29.43,-0.9800000000000004,1.0
46,85,57,27.47,29.59,-1.120000000000001,1.0
48,88,51,27.45,29.43,-0.9800000000000004,1.0
48,89,51,27.47,29.59,-1.120000000000001,1.0
46,92,55,27.45,29.43,-0.9800000000000004,1.0
42,96,54,27.47,29.59,-1.120000000000001,1.0
41,94,55,27.45,29.43,-0.9800000000000004,1.0
48,93,46,27.47,29.59,-1.120000000000001,1.0
47,99,51,27.45,29.43,-0.9800000000000004,1.0
53,91,57,27.47,29.59,-1.120000000000001,1.0
55,91,57,27.45,29.43,-0.9800000000000004,1.0
53,94,55,27.47,29.59,-1.120000000000001,1.0
49,96,54,27.45,29.43,-0.9800000000000004,1.0
49,97,50,27.47,29.59,-1.120000000000001,1.0
49,97,52,27.45,29.43,-0.9800000000000004,1.0
47,97,56,27.47,29.59,-1.120000000000001,1.0
52,97,53,27.45,29.43,-0.9800000000000004,1.0
55,96,51,27.47,29.59,-1.120000000000001,1.0
49,101,52,27.45,29.43,-0.9800000000000004,1.0
44,102,52,27.47,29.59,-1.120000000000001,1.0
42,99,56,27.45,29.43,-0.9800000000000004,1.0
51,94,45,27.47,29.59,-1.120000000000001,1.0
52,92,45,27.45,29.43,-0.9800000000000004,1.0
48,92,53,27.47,29.59,-1.120000000000001,1.0
47,92,48,27.45,29.43,-0.9800000000000004,1.0
45,88,51,27.47,29.59,-1.120000000000001,1.0
40,88,52,27.45,29.43,-0.9800000000000004,1.0
38,86,51,27.47,29.59,-1.120000000000001,1.0
37,84,56,27.45,29.43,-0.9800000000000004,1.0
33,83,49,27.47,29.59,-1.120000000000001,1.0
35,85,45,27.45,29.43,-0.9800000000000004,1.0
39,84,49,27.47,29.59,-1.120000000000001,1.0
42,85,48,27.45,29.43,-0.9800000000000004,1.0
41,89,44,27.47,29.59,-1.120000000000001,1.0
34,92,50,27.45,29.43,-0.9800000000000004,1.0
40,90,45,27.47,29.59,-1.120000000000001,1.0
42,91,45,27.45,29.43,-0.9800000000000004,1.0
42,91,47,27.47,29.59,-1.120000000000001,1.0
43,89,50,27.45,29.43,-0.9800000000000004,1.0
38,92,50,27.47,29.59,-1.120000000000001,1.0
39,90,49,27.45,29.43,-0.9800000000000004,1.0
37,89,47,27.47,29.59,-1.120000000000001,1.0
37,88,49,27.45,29.43,-0.9800000000000004,1.0
38,92,46,27.47,29.59,-1.120000000000001,1.0
33,94,45,27.45,29.43,-0.9800000000000004,1.0
33,92,50,27.47,29.59,-1.120000000000001,1.0
34,88,51,27.45,29.43,-0.9800000000000004,1.0
35,86,52,27.47,29.59,-1.120000000000001,1.0
32,81,50,27.45,29.43,-0.9800000000000004,1.0
32,78,50,27.47,29.59,-1.120000000000001,1.0
30,80,47,27.45,29.43,-0.9800000000000004,1.0
32,80,43,27.47,29.59,-1.120000000000001,1.0
34,77,33,27.45,29.43,-0.9800000000000004,1.0
33,76,40,27.47,29.59,-1.120000000000001,1.0
27,76,43,27.45,29.43,-0.9800000000000004,1.0
23,78,43,27.47,29.59,-1.120000000000001,1.0
23,78,39,27.45,29.43,-0.9800000000000004,1.0
52,104,43,27.83,26.27,2.5599999999999987,1.0
44,105,56,27.83,26.11,2.719999999999999,1.0
51,102,59,27.83,26.27,2.5599999999999987,1.0
51,102,54,27.83,26.11,2.719999999999999,1.0
49,105,49,27.83,26.27,2.5599999999999987,1.0
50,109,47,27.83,26.11,2.719999999999999,1.0
54,106,46,27.83,26.27,2.5599999999999987,1.0
53,104,50,27.83,26.11,2.719999999999999,1.0
53,102,56,27.83,26.27,2.5599999999999987,1.0
53,106,53,27.83,26.11,2.719999999999999,1.0
49,108,52,27.83,26.27,2.5599999999999987,1.0
49,108,52,27.83,26.11,2.719999999999999,1.0
52,108,47,27.83,26.27,2.5599999999999987,1.0
54,109,43,27.83,26.11,2.719999999999999,1.0
50,110,46,27.83,26.27,2.5599999999999987,1.0
50,107,51,27.83,26.11,2.719999999999999,1.0
46,110,51,27.83,26.27,2.5599999999999987,1.0
52,107,48,27.83,26.11,2.719999999999999,1.0
51,106,52,27.83,26.27,2.5599999999999987,1.0
53,104,54,27.83,26.11,2.719999999999999,1.0
50,108,57,27.83,26.27,2.5599999999999987,1.0
52,109,56,27.83,26.11,2.719999999999999,1.0
55,108,53,27.83,26.27,2.5599999999999987,1.0
57,107,55,27.83,26.11,2.719999999999999,1.0
57,109,49,27.83,26.27,2.5599999999999987,1.0
57,110,54,27.83,26.11,2.719999999999999,1.0
55,112,57,27.83,26.27,2.5599999999999987,1.0
54,114,57,27.83,26.11,2.719999999999999,1.0
52,116,57,27.83,26.27,2.5599999999999987,1.0
54,117,50,27.83,26.11,2.719999999999999,1.0
54,116,61,27.83,26.27,2.5599999999999987,1.0
51,116,63,27.83,26.11,2.719999999999999,1.0
49,119,60,27.83,26.27,2.5599999999999987,1.0
49,119,60,27.83,26.11,2.719999999999999,1.0
48,117,61,27.83,26.27,2.5599999999999987,1.0
52,115,59,27.83,26.11,2.719999999999999,1.0
53,115,58,27.83,26.27,2.5599999999999987,1.0
52,116,55,27.83,26.11,2.719999999999999,1.0
54,117,50,27.83,26.27,2.5599999999999987,1.0
53,116,53,27.83,26.11,2.719999999999999,1.0
54,116,53,27.83,26.27,2.5599999999999987,1.0
57,113,52,27.83,26.11,2.719999999999999,1.0
54,114,55,27.83,26.27,2.5599999999999987,1.0
50,113,55,27.83,26.11,2.719999999999999,1.0
53,112,55,27.83,26.27,2.5599999999999987,1.0
50,114,55,27.83,26.11,2.719999999999999,1.0
48,113,53,27.83,26.27,2.5599999999999987,1.0
51,109,55,27.83,26.11,2.719999999999999,1.0
53,106,57,27.83,26.27,2.5599999999999987,1.0
47,107,57,27.83,26.11,2.719999999999999,1.0
47,105,55,27.83,26.27,2.5599999999999987,1.0
48,101,57,27.83,26.11,2.719999999999999,1.0
41,101,59,27.83,26.27,2.5599999999999987,1.0
39,101,57,27.83,26.11,2.719999999999999,1.0
35,103,56,27.83,26.27,2.5599999999999987,1.0
41,102,54,27.83,26.11,2.719999999999999,1.0
38,100,51,27.83,26.27,2.5599999999999987,1.0
37,98,49,27.83,26.11,2.719999999999999,1.0
36,97,50,27.83,26.27,2.5599999999999987,1.0
38,98,49,27.83,26.11,2.719999999999999,1.0
35,99,45,27.83,26.27,2.5599999999999987,1.0
34,99,51,27.83,26.11,2.719999999999999,1.0
34,97,50,27.83,26.27,2.5599999999999987,1.0
32,99,51,27.83,26.11,2.719999999999999,1.0
38,98,50,27.83,26.27,2.5599999999999987,1.0
41,97,50,27.83,26.11,2.719999999999999,1.0
36,101,49,27.83,26.27,2.5599999999999987,1.0
37,100,47,27.83,26.11,2.719999999999999,1.0
40,99,49,27.83,26.27,2.5599999999999987,1.0
37,98,53,27.83,26.11,2.719999999999999,1.0
34,102,58,27.83,26.27,2.5599999999999987,1.0
39,103,47,27.83,26.11,2.719999999999999,1.0
32,105,48,27.83,26.27,2.5599999999999987,1.0
45,98,47,27.83,26.11,2.719999999999999,1.0
44,95,51,27.83,26.27,2.5599999999999987,1.0
46,96,46,27.83,26.11,2.719999999999999,1.0
48,97,48,27.83,26.27,2.5599999999999987,1.0
47,97,39,27.83,26.11,2.719999999999999,1.0
45,99,41,27.83,26.27,2.5599999999999987,1.0
47,97,52,27.83,26.11,2.719999999999999,1.0
45,100,48,27.83,26.27,2.5599999999999987,1.0
40,99,45,27.83,26.11,2.719999999999999,1.0
41,98,51,27.83,26.27,2.5599999999999987,1.0
41,97,51,27.83,26.11,2.719999999999999,1.0
44,94,53,27.83,26.27,2.5599999999999987,1.0
42,100,53,27.83,26.11,2.719999999999999,1.0
46,101,50,27.83,26.27,2.5599999999999987,1.0
48,98,52,27.83,26.11,2.719999999999999,1.0
47,100,50,27.83,26.27,2.5599999999999987,1.0
49,106,45,27.83,26.11,2.719999999999999,1.0
54,103,50,27.83,26.27,2.5599999999999987,1.0
47,106,50,27.83,26.11,2.719999999999999,1.0
50,106,49,27.83,26.27,2.5599999999999987,1.0
50,107,59,27.83,26.11,2.719999999999999,1.0
48,110,56,27.83,26.27,2.5599999999999987,1.0
48,113,55,27.83,26.11,2.719999999999999,1.0
53,108,57,27.83,26.27,2.5599999999999987,1.0
58,104,60,27.83,26.11,2.719999999999999,1.0
52,107,57,27.83,26.27,2.5599999999999987,1.0
50,107,56,27.83,26.11,2.719999999999999,1.0
48,97,58,27.93,25.87,3.0599999999999987,1.0
40,97,54,27.91,25.79,3.120000000000001,1.0
39,96,51,28.09,25.99,3.1000000000000014,1.0
39,93,57,28.07,25.81,3.2600000000000016,1.0
44,92,56,28.03,26.03,3.0,1.0
39,92,55,27.99,25.99,3.0,1.0
37,90,55,27.93,25.87,3.0599999999999987,1.0
36,89,54,27.91,25.79,3.120000000000001,1.0
32,88,50,28.09,25.99,3.1000000000000014,1.0
32,89,44,28.07,25.81,3.2600000000000016,1.0
33,84,43,28.03,26.03,3.0,1.0
29,84,48,27.99,25.99,3.0,1.0
29,83,45,27.93,25.87,3.0599999999999987,1.0
22,77,43,27.91,25.79,3.120000000000001,1.0
15,79,39,28.09,25.99,3.1000000000000014,1.0
12,77,44,28.07,25.81,3.2600000000000016,1.0
14,71,43,28.03,26.03,3.0,1.0
20,69,38,27.99,25.99,3.0,1.0
17,73,37,27.93,25.87,3.0599999999999987,1.0
15,76,35,27.91,25.79,3.120000000000001,1.0
11,80,30,28.09,25.99,3.1000000000000014,1.0
15,80,39,28.07,25.81,3.2600000000000016,1.0
19,79,42,28.03,26.03,3.0,1.0
18,80,43,27.99,25.99,3.0,1.0
15,85,47,27.93,25.87,3.0599999999999987,1.0
24,88,48,27.91,25.79,3.120000000000001,1.0
28,90,47,28.09,25.99,3.1000000000000014,1.0
34,97,50,28.07,25.81,3.2600000000000016,1.0
42,97,56,28.03,26.03,3.0,1.0
45,105,61,27.99,25.99,3.0,1.0
42,114,64,27.93,25.87,3.0599999999999987,1.0
53,117,65,27.91,25.79,3.120000000000001,1.0
62,118,66,28.09,25.99,3.1000000000000014,1.0
65,117,69,28.07,25.81,3.2600000000000016,1.0
65,118,73,28.03,26.03,3.0,1.0
60,120,78,27.99,25.99,3.0,1.0
62,120,77,27.93,25.87,3.0599999999999987,1.0
63,124,76,27.91,25.79,3.120000000000001,1.0
