R,G,B,AmbientTemp,ObjectTemp
50,109,63,27.83,26.11
52,106,62,27.83,26.27
52,103,57,27.83,26.11
46,107,60,27.83,26.27
41,107,63,27.83,26.11
42,105,65,27.83,26.27
41,108,54,27.83,26.11
39,101,62,27.83,26.27
38,98,66,27.83,26.11
40,99,66,27.83,26.27
44,100,61,27.83,26.11
45,100,59,27.83,26.27
42,99,62,27.83,26.11
40,102,57,27.83,26.27
41,102,57,27.83,26.11
42,102,64,27.83,26.27
45,103,54,27.83,26.11
47,103,56,27.83,26.27
47,103,56,27.83,26.11
39,104,67,27.83,26.27
41,101,59,27.83,26.11
42,101,66,27.83,26.27
41,101,65,27.83,26.11
37,104,65,27.83,26.27
40,100,67,27.83,26.11
41,102,61,27.83,26.27
40,102,63,27.83,26.11
43,100,63,27.83,26.27
44,100,61,27.83,26.11
42,102,59,27.83,26.27
44,103,57,27.83,26.11
41,101,61,27.83,26.27
38,101,64,27.83,26.11
37,100,60,27.83,26.27
40,102,59,27.83,26.11
39,102,56,27.83,26.27
38,101,57,27.83,26.11
37,101,62,27.83,26.27
36,100,64,27.83,26.11
36,99,61,27.83,26.27
35,101,54,27.83,26.11
32,106,54,27.83,26.27
31,102,67,27.83,26.11
38,102,72,27.83,26.27
40,112,70,27.83,26.11
36,114,69,27.83,26.27
36,117,71,27.83,26.11
36,119,70,27.83,26.27
37,121,71,27.83,26.11
37,122,72,27.83,26.27
31,123,73,27.83,26.11
31,121,83,27.83,26.27
27,122,84,27.83,26.11
29,122,82,27.83,26.27
31,119,82,27.83,26.11
32,117,79,27.83,26.27
33,116,74,27.83,26.11
36,113,75,27.83,26.27
36,111,73,27.83,26.11
34,110,64,27.83,26.27
31,109,67,27.83,26.11
28,109,67,27.83,26.27
25,107,64,27.83,26.11
26,105,62,27.83,26.27
27,100,58,27.83,26.11
29,100,60,27.83,26.27
23,103,57,27.83,26.11
21,100,58,27.83,26.27
22,99,59,27.83,26.11
19,100,55,27.83,26.27
18,101,60,27.83,26.11
18,101,62,27.83,26.27
18,95,55,27.83,26.11
